service_id,latitude_override,longitude_override,establishment_name,confirmed_address,coordinate_source,adoption_status,adoption_date,source_record_id
TJPA-VARA-DE-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-DE-ANANINDEUA-ANANINDEUA,-1.3653,-48.3752,Casa da Mulher Brasileira Ananindeua,"Av. Claude Saunders, 28 - Maguari, Ananindeua - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,1
TJPA-SECRETARIA-DA-1-VARA-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-BEL-M,-1.4552,-48.5028,Poder Judiciário Fórum Criminal Anexo 1,"R. Dona Tomázia Perdigão, 260 - Cidade Velha, Belém - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,2
TJPA-SECRETARIA-DA-2-VARA-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-BEL-M,-1.4552,-48.5028,Poder Judiciário Fórum Criminal Anexo 1,"R. Dona Tomázia Perdigão, 260 - Cidade Velha, Belém - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,3
TJPA-SECRETARIA-DA-3-VARA-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-BEL-M,-1.4552,-48.5028,Poder Judiciário Fórum Criminal Anexo 1,"R. Dona Tomázia Perdigão, 260 - Cidade Velha, Belém - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,4
TJPA-SECRETARIA-DA-4-VARA-DE-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-DA-COMARCA-DE-BEL-M-BEL-M,-1.4552,-48.5028,Poder Judiciário Fórum Criminal Anexo 1,"R. Dona Tomázia Perdigão, 260 - Cidade Velha, Belém - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,5
TJPA-VARA-DE-COMBATE-VIOL-NCIA-DOM-STICA-E-FAMILIAR-CONTRA-A-MULHER-DE-CASTANHAL-PA-CASTANHAL,-1.2974,-47.9221,Fórum da Comarca de Castanhal,"Av. Pres. Getúlio Vargas, 2639 - Centro, Castanhal - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,6
CREAS-15042099821,-5.3524,-49.1232,CREAS Carajás / CRAS Nova Marabá,"Folha 30, Lote 40, Quadra 01, Nova Marabá - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,7
CREAS-15048097912,-2.0061,-54.0722,Centro de Referência Especializado de Assistência Social - CREAS MONTE ALEGRE,"Av. Nilo Peçanha, 120 - Serra Ocidental, Monte Alegre - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,8
DEAM-ABAETETUBA,-1.7225,-48.8831,Delegacia de Polícia de Abaetetuba / DEAM,"R. 7 de Setembro, 1752 - Centro, Abaetetuba - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,9
DEAM-ALTAMIRA,-3.2128,-52.2289,Delegacia Especializada de Atendimento a Mulher,"Rua Curitiba, 2973 - Jardim Uirapuru, Altamira - PA",user_supplied_operational_location_file,accepted_for_routing_by_project_decision,2026-08-21,10
