codigo_cnes,nome_razao_social,nome_fantasia,codigo_tipo_unidade,codigo_cep_estabelecimento,endereco_estabelecimento,numero_estabelecimento,bairro_estabelecimento,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,codigo_uf,codigo_municipio,estabelecimento_possui_centro_obstetrico,estabelecimento_possui_atendimento_hospitalar,estabelecimento_possui_atendimento_ambulatorial,data_atualizacao
0179817,SECRETARIA DE ESTADO DE SAUDE PUBLICA,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA,5,68181010,AVENIDA MARECHAL RONDON,S/N,BOA ESPERANCA,-4.27455,-55.988,15,150360,1.0,1.0,1,2025-09-03
0858560,FUNDO MUNICIPAL DE SAUDE DE RUROPOLIS,CTA RUROPOLIS,2,68165000,RUA MINISTRO SERGIO MOTA,S/N,CENTRO,-4.093640630264241,-54.90546226501465,15,150619,0.0,0.0,0,2025-09-03
0949701,MUNICIPIO DE AURORA DO PARA,USF ERNANE FERNANDES GUSMAO,2,68658000,RUA DA MANGUEIRA,S/N,MANELANDIA,-2.143142972762205,-47.55612373352051,15,150095,0.0,0.0,0,2025-09-03
2313669,PREFEITURA MUNICIPAL DE OUREM,HOSPITAL MUNICIPAL LUIZ CARLOS DE SOUSA,5,68640000,RUA LUIZ DE MOURA,365,CENTRO,-1.546602717486488,-47.11583019512196,15,150540,1.0,1.0,1,2025-09-03
2313820,PREFEITURA MUNICIPAL DE VISEU,ESTRATEGIA DE SAUDE DA FAMILIA DO MANGUEIRAO,2,68620000,RUA 8 DE MAIO,S/N,MANGUEIRAO,-1.2001900241984003,-46.13807201385498,15,150830,0.0,0.0,0,2026-03-10
2313839,PREFEITURA MUNICIPAL DE VISEU,ESTRATEGIA DE SAUDE DA FAMILIA DO JAPIM,2,68620000,JAPIM,S/N,ZONA RURAL,-1.799144644775151,-46.698288917541504,15,150830,0.0,0.0,0,2026-02-27
2314037,SECRETARIA MUNICIPAL DE SAUDE,HOSPITAL MUNICIPAL WANDICK GUTIERREZ,5,67400045,TV SANTO ANTONIO ENTRE JOAO PANTOJA E TOME SERRA,356,CENTRO,-1.5048466213392289,-48.62299919128418,15,150130,0.0,0.0,1,2026-08-11
2315416,MUNICIPIO DE BONITO,CENTRO DE ESPECIALIDADE DE BONITO,36,68645000,AVENIDA RUTH PASSARINHO,S/N,CENTRO,-1.3655656983736264,-47.30779409408569,15,150160,0.0,0.0,0,2025-09-03
2316757,PREFEITURA MUNICIPAL DE JURUTI,HOSPITAL MUNICIPAL DE JURUTI FRANCISCO RODRIGUES BARROS,5,68170000,TRAVESSA DARIO RODRIGUES DE SOUZA,S/N,BOM PASTOR,-2.1598896006368604,-56.09136343002319,15,150390,1.0,1.0,1,2025-09-03
2329565,PREFEITURA MUNICIPAL DE SANTANA DO ARAGUAIA,HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS,5,68560000,AV VINICIUS DE FREITAS,S/N,BEL RECANTO,-9.340346,-50.341739,15,150670,1.0,1.0,1,2025-09-03
