id_equipamento,ibge,cidade,nome,endereco,numero,bairro,latitude,longitude
15003498246,150034,Água Azul do Norte,CREAS DANIEL BRITO DIAS,AV  Carajás - 00,00,Beira Rio,-6.80566636234563,-50.481705665588386
15004093830,150040,Alenquer,CREAS,Nossa Senhora do Perpetuo Socorro - 00,00,Planalto,-1.9403895946033927,-54.735689163208015
15007097832,150070,Anajás,CREAS,MAGALHÂES BARATA - 00,00,CENTRO,-0.9844081039562795,-49.944620132446296
15008097774,150080,Ananindeua,CREAS II,JULIA CORDEIRO - 170,170,CENTRO,-1.3697702039774933,-48.37670803070069
15008594224,150085,Anapu,CREAS,Presidente Kennedy - 17,17,CENTRO,-3.4704568730068006,-51.20699644088746
15009094050,150090,Augusto Corrêa,CREAS AUGUSTO CORRÊA,JOSÉ LAURO DA COSTA - 352,352,SÃO MIGUEL,-1.0234851074584004,-46.63765919201978
15010093824,150100,Aveiro,CREAS ALONSO DE ALMEIDA SENA,HUMBERTO DE ABREU FRAZAO - 0,0,CENTRO,-3.606,-55.332
15011099160,150110,Bagre,CREAS,25 DE MARÇO - 1,1,CENTRO,-1.9,-50.164
15012094514,150120,Baião,CREAS RENASCER,OSVALDO PAIXÃO - 00,00,NOVO SÃO FRANCISCO,-2.7937755152385053,-49.67290163040161
15014098038,150140,Belém,CREAS ICOARACI - JOSÉ CARLOS PACHECO DIAS,SIQUEIRA MENDES - 811,811,CRUZEIRO,-1.3029267355242622,-48.489251138037176
15014098040,150140,Belém,CREAS MOSQUEIRO - MARIALVA CASANOVA GUIMARÃES,Comandante Ernesto Dias - 655,655,vila,-1.162171087012967,-48.471765518188484
15014599551,150145,Belterra,CREAS,PINDOBAL - 1,1,CENTRO,-2.636,-54.937
15015094104,150150,Benevides,CREAS RENASCER,APOLINÁRIO MENDES - 639,639,LIBERDADE,-1.365308279424019,-48.240280151367195
15015798954,150157,Bom Jesus do Tocantins,CREAS,SETE DE SETEMBRO  - 658,658,CENTRO,-5.046946304921942,-48.59694957733155
15016099373,150160,Bonito,CREAS,Padre Angelo Bernardes  - 119,119,centro,-1.3618974757414526,-47.303159236907966
15017296106,150172,Brasil Novo,CREAS,CASTELO BRANCO - 660,660,CENTRO,-3.301322911923635,-52.54112720489503
15017599004,150175,Brejo Grande do Araguaia,"CREAS - Centro de Referência Especializado de Assistência Social ""BOM CONSELHO""", Rua Estevão Rodrigues  - 205,205,Centro,-5.701697160752696,-48.406662940979004
15020099044,150200,Cachoeira do Arari,CREAS Padre Giovanni Gallo,SETE DE SETEMBRO - 00,00,CENTRO,-1.011741030425417,-48.959648609161384
15025098010,150250,Chaves,CREAS,Bom Pastor  - 195,195,CENTRO,-0.16464449157741673,-49.98727798461915
15027593910,150275,Concórdia do Pará,CREAS,bezerra de meneses - 0,0,Ramiro paz,-1.9915360175245338,-47.947103977203376
15027698906,150276,Cumaru do Norte,CREAS -CASA DE ATENDIMENTO ESPECIALIZADO À FAMÍLIA E INDIVÍDUOS,Maranhao - 0,0,Centro,-7.812338513777153,-50.763528347597465
15027799218,150277,Curionópolis,CREAS,CEDRO - 200,200,CENTRO,-6.094747520780239,-49.605889320373535
15028097694,150280,Curralinho,CREAS,Dom Orione - 0,0,Perpetuo Socorro,-1.8122916659714872,-49.79525327682496
15028598856,150285,Curuá,CREAS, Frei Rodolfo Hartmann - 00,00,centro,-1.8913755013224651,-55.11717438697816
15029597890,150295,Eldorado Dos Carajás,CREAS VIDA SERENA,Irmã Adelaide Molinari  - 58,58,CENTRO,-6.102324018172105,-49.37320232391358
15030098868,150300,Faro,CREAS LAR ESTRELA DA MANHÂ,TV. JOSE LUCIO DE OLIVEIRA CAMPOS - 00,00,MORUMBI,-2.173009629141865,-56.74144238233567
15030498886,150304,Floresta do Araguaia,CREAS NOVA VIDA,DONA PAULA - 178,178,CENTRO,-7.563587857153735,-49.706954956054695
15030797192,150307,Garrafão do Norte,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,JOSÉ MALCHER - 00,00,CENTRO,-1.9350925803717554,-47.04942226409913
15031098106,150310,Gurupá,CREAS,TIRADENTES - 0,0,SANTA MARIA,-1.409069100642543,-51.64488315582276
15032094238,150320,Igarapé-açu,CREAS,RUA MARECHAL RONDON - 2348,2348,CENTRO,-1.1285201122946547,-47.62566268444061
15037096062,150370,Itupiranga,CREAS,31 DE MARÇO - 154,154,CENTRO,-5.133165193816559,-49.33096289634705
15039098748,150390,Juruti,CREAS,ANTONIO RODRIGUES - 0,0,BOM PASTOR,-2.160918836804048,-56.09777927398682
15040094004,150400,Limoeiro do Ajuru,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL - CREAS,NOVA I - 80,80,MATINHA,-1.8964474686169277,-49.380841255187995
15041098950,150410,Magalhães Barata,CREAS - MAGALHÃES BARATA,LAURO SODRE - 0,0,CENTRO,-0.7938721446263419,-47.59956333748051
15042099821,150420,Marabá,CREAS NOVA MARABÁ,"FOLHA 30 , LOTE 40 , QUADRA 01 - 01",01,NOVA MARABÁ,,
15043094670,150430,Maracanã,CREAS SÃO MIGUEL ARCANJO,rua espirito santo - 0,0,Centro,-0.7647373105963997,-47.45407962851459
15044097790,150440,Marapanim,CREAS MARIZA DE JESUS ALVES E SILVA,15 de agosto - 00,00,Barraca,-0.7122047114811324,-47.70031929016113
15044594176,150445,Medicilândia,CREAS,Benedito do Vale - 1014,1014,Centro,-3.4455684560005353,-52.88792610168458
15045093718,150450,Melgaço,CREAS,SETE DESETEMBRO - 576,576,TABOCAL,-1.8055787616476688,-50.71962833404541
15046093954,150460,Mocajuba,CREAS,Alameda B - 4,4,Centro,-2.5810638990583428,-49.50761318206788
15047599246,150475,Mojui dos Campos,CREAS MUNICIPAL,ANTÔNIO WALFREDO - 001,001,ALTO ALEGRE,-2.6811817,-54.6369029
15048097912,150480,Monte Alegre,CREAS,NILO PEÇANHA - 120,120,CENTRO,,
15049594260,150495,Nova Esperança do Piriá,CREAS RENASCER - NEP,PROFESSORA ANELI GOMES ROCHA - 0,0,VILA NOVA,-2.267352502506749,-46.96343868970872
