service_id,service_name,service_type,provider_source,municipality_name,address_public,latitude,longitude,address_evidence_status,address_source,coordinate_validation_status,validation_status
DEAM-BELEM,Delegacia Especializada de Atendimento à Mulher - Belém,specialized_security,PCPA/SEGUP,Belém,"Travessa Mauriti, 2394, Marco, Belém - PA",-1.433980,-48.463447,current_official_state,SEMU/SEGUP current public directory,validated_exact_address_point,function_validated_from_official_state_sources
DEAM-ICOARACI,Delegacia Especializada de Atendimento à Mulher - Icoaraci,specialized_security,PCPA/SEGUP,Belém,"Rua 8 de Maio, 68, Campina, Icoaraci, Belém - PA",-1.291160,-48.470751,current_official_state,"Fundação ParáPaz current unit-address directory + OpenStreetMap exact house-number candidate + IBGE municipality validation",validated_exact_address_point,function_validated_from_official_state_sources
DEAM-ANANINDEUA,Delegacia Especializada de Atendimento à Mulher - Ananindeua,specialized_security,PCPA/SEGUP,Ananindeua,"Casa da Mulher Brasileira, Av. Cláudio Saunders, 28, Maguari, Ananindeua - PA, CEP 67145-200",,,current_official_state,"Ananindeua 2026 official service inventory + Fundação ParáPaz current directory",pending_exact_coordinate_validation,function_validated_from_official_state_sources
DEAM-ABAETETUBA,Delegacia Especializada de Atendimento à Mulher - Abaetetuba,specialized_security,PCPA/SEGUP,Abaetetuba,"Rua Pedro Pinheiro Paes, 226, Centro, Abaetetuba - PA",,,legacy_official_candidate,legacy public institutional directory,pending_current_address_revalidation,function_validated_from_official_state_sources
DEAM-ALTAMIRA,Delegacia Especializada de Atendimento à Mulher - Altamira,specialized_security,PCPA/SEGUP,Altamira,"Rua Curitiba, 2973, Jardim Uirapuru, Altamira - PA",,,current_official_state,Fundação ParáPaz current unit-address directory,pending_exact_coordinate_validation,function_validated_from_official_state_sources
DEAM-BARCARENA,Delegacia Especializada de Atendimento à Mulher - Barcarena,specialized_security,PCPA/SEGUP,Barcarena,"Rua Cronge de Oliveira, 225, Beira Rio, Barcarena - PA",,,legacy_official_candidate,legacy public institutional directory,pending_current_address_revalidation,function_validated_from_official_state_sources
DEAM-BRAGANCA,Delegacia Especializada de Atendimento à Mulher - Bragança,specialized_security,PCPA/SEGUP,Bragança,"Rua 2 de Outubro, 50, Centro, Bragança - PA",,,current_official_state,Fundação ParáPaz current unit-address directory,pending_exact_coordinate_validation,function_validated_from_official_state_sources
DEAM-BREVES,Delegacia Especializada de Atendimento à Mulher - Breves,specialized_security,PCPA/SEGUP,Breves,"Rua Ângelo Fernandes, s/n, Aeroporto, Breves - PA",,,current_official_state,Fundação ParáPaz current unit-address directory,pending_exact_coordinate_validation,function_validated_from_official_state_sources
DEAM-CAPANEMA,Delegacia Especializada de Atendimento à Mulher - Capanema,specialized_security,PCPA/SEGUP,Capanema,"Avenida João Paulo II, 1660, Tancredo Neves, Capanema - PA",,,legacy_official_candidate,legacy public institutional directory,pending_current_address_revalidation,function_validated_from_official_state_sources
DEAM-CAMETA,Delegacia Especializada de Atendimento à Mulher - Cametá,specialized_security,PCPA/SEGUP,Cametá,"Travessa Benjamim Constant, 438, Matinha, Cametá - PA",,,current_official_state,Agência Pará,pending_exact_coordinate_validation,function_validated_from_official_state_sources
DEAM-CANAA-DOS-CARAJAS,Delegacia Especializada de Atendimento à Mulher - Canaã dos Carajás,specialized_security,PCPA/SEGUP,Canaã dos Carajás,"Complexo da Polícia Civil, Avenida Weyne Cavalcante, Jardim das Palmeiras, Canaã dos Carajás - PA",,,current_official_institution,Prefeitura de Canaã dos Carajás - inauguration service notice 2025,pending_named_institution_geocoding,function_validated_from_official_state_sources
DEAM-CASTANHAL,Delegacia Especializada de Atendimento à Mulher - Castanhal,specialized_security,PCPA/SEGUP,Castanhal,"Rua 1º de Maio, 1376, Centro, Castanhal - PA",,,legacy_official_candidate,legacy public institutional directory,pending_current_address_revalidation,function_validated_from_official_state_sources
