service_type,configuration_a,configuration_b,spearman
health,exponential_120_half60,exponential_120_half60,1.0
health,exponential_120_half60,gaussian_120_sigma60,0.996287896971553
health,exponential_120_half60,reference_step_120,0.9777479815181329
health,exponential_120_half60,step_240,0.8216954274463065
health,exponential_120_half60,unbounded_no_decay,0.5991782703620511
health,gaussian_120_sigma60,exponential_120_half60,0.996287896971553
health,gaussian_120_sigma60,gaussian_120_sigma60,1.0
health,gaussian_120_sigma60,reference_step_120,0.9645796864025389
health,gaussian_120_sigma60,step_240,0.8147138999873982
health,gaussian_120_sigma60,unbounded_no_decay,0.5884715026568272
health,reference_step_120,exponential_120_half60,0.9777479815181329
health,reference_step_120,gaussian_120_sigma60,0.9645796864025389
health,reference_step_120,reference_step_120,1.0
health,reference_step_120,step_240,0.8347368482827963
health,reference_step_120,unbounded_no_decay,0.6033194650422166
health,step_240,exponential_120_half60,0.8216954274463065
health,step_240,gaussian_120_sigma60,0.8147138999873982
health,step_240,reference_step_120,0.8347368482827963
health,step_240,step_240,1.0
health,step_240,unbounded_no_decay,0.6576781145410959
health,unbounded_no_decay,exponential_120_half60,0.5991782703620511
health,unbounded_no_decay,gaussian_120_sigma60,0.5884715026568272
health,unbounded_no_decay,reference_step_120,0.6033194650422166
health,unbounded_no_decay,step_240,0.6576781145410959
health,unbounded_no_decay,unbounded_no_decay,1.0
creas,exponential_120_half60,exponential_120_half60,1.0
creas,exponential_120_half60,gaussian_120_sigma60,0.9935363799213285
creas,exponential_120_half60,reference_step_120,0.9547300361347142
creas,exponential_120_half60,step_240,0.642020679570639
creas,exponential_120_half60,unbounded_no_decay,0.5017172196832439
creas,gaussian_120_sigma60,exponential_120_half60,0.9935363799213285
creas,gaussian_120_sigma60,gaussian_120_sigma60,1.0
creas,gaussian_120_sigma60,reference_step_120,0.9306484344701781
creas,gaussian_120_sigma60,step_240,0.6158726641151216
creas,gaussian_120_sigma60,unbounded_no_decay,0.48548934996527365
creas,reference_step_120,exponential_120_half60,0.9547300361347142
creas,reference_step_120,gaussian_120_sigma60,0.9306484344701781
creas,reference_step_120,reference_step_120,1.0
creas,reference_step_120,step_240,0.7110442175046181
creas,reference_step_120,unbounded_no_decay,0.520789256920781
creas,step_240,exponential_120_half60,0.642020679570639
creas,step_240,gaussian_120_sigma60,0.6158726641151216
creas,step_240,reference_step_120,0.7110442175046181
creas,step_240,step_240,1.0
creas,step_240,unbounded_no_decay,0.6120112737685388
creas,unbounded_no_decay,exponential_120_half60,0.5017172196832439
creas,unbounded_no_decay,gaussian_120_sigma60,0.48548934996527365
creas,unbounded_no_decay,reference_step_120,0.520789256920781
creas,unbounded_no_decay,step_240,0.6120112737685388
creas,unbounded_no_decay,unbounded_no_decay,1.0
specialized_security,exponential_120_half60,exponential_120_half60,1.0
specialized_security,exponential_120_half60,gaussian_120_sigma60,0.9930037834149972
specialized_security,exponential_120_half60,reference_step_120,0.957978936780979
specialized_security,exponential_120_half60,step_240,0.6719574569300458
specialized_security,exponential_120_half60,unbounded_no_decay,0.36471542915673094
specialized_security,gaussian_120_sigma60,exponential_120_half60,0.9930037834149972
specialized_security,gaussian_120_sigma60,gaussian_120_sigma60,1.0
specialized_security,gaussian_120_sigma60,reference_step_120,0.9357889209434997
specialized_security,gaussian_120_sigma60,step_240,0.6682374416222534
specialized_security,gaussian_120_sigma60,unbounded_no_decay,0.3673550889494056
