service_type,municipality_code,municipality_name,e2sfca_score,routing_ready_origins,routing_ready_female_population,configuration
creas,1500107,Abaetetuba,2.0815340865709034e-05,189,61390.0,reference_step_120
creas,1500131,Abel Figueiredo,4.199729160657377e-05,11,2904.0,reference_step_120
creas,1500206,Acará,1.9056031676781432e-05,128,21279.0,reference_step_120
creas,1500347,Água Azul do Norte,5.342895242140356e-05,38,7078.0,reference_step_120
creas,1500404,Alenquer,3.937478924914908e-05,64,24692.0,reference_step_120
creas,1500503,Almeirim,7.810669374365382e-05,44,12803.0,reference_step_120
creas,1500602,Altamira,4.6862663185137184e-05,254,57798.0,reference_step_120
creas,1500701,Anajás,0.00016339869281045748,11,6120.0,reference_step_120
creas,1500800,Ananindeua,2.5819687673042643e-05,637,216395.0,reference_step_120
creas,1500859,Anapu,5.920091432678823e-05,42,11682.0,reference_step_120
creas,1500909,Augusto Corrêa,3.793690274816092e-05,85,19652.0,reference_step_120
creas,1500958,Aurora do Pará,4.354423425936943e-05,40,9167.0,reference_step_120
creas,1501006,Aveiro,0.00022340280370565906,24,4724.0,reference_step_120
creas,1501105,Bagre,2.3494042015517753e-06,18,6788.0,reference_step_120
creas,1501204,Baião,2.1932629028094165e-05,61,20104.0,reference_step_120
creas,1501253,Bannach,4.344715083692076e-05,11,1582.0,reference_step_120
creas,1501303,Barcarena,1.3296545835199218e-05,238,57552.0,reference_step_120
creas,1501402,Belém,2.3193977768577224e-05,1874,637628.0,reference_step_120
creas,1501451,Belterra,2.248552968789985e-05,43,7617.0,reference_step_120
creas,1501501,Benevides,3.1640455512565854e-05,181,30532.0,reference_step_120
creas,1501576,Bom Jesus do Tocantins,4.5505440840769785e-05,35,7433.0,reference_step_120
creas,1501600,Bonito,6.196703047427385e-05,26,5332.0,reference_step_120
creas,1501709,Bragança,4.088215510354978e-05,195,55750.0,reference_step_120
creas,1501725,Brasil Novo,7.027336106698121e-05,37,8590.0,reference_step_120
creas,1501758,Brejo Grande do Araguaia,3.3266369971082466e-05,17,2980.0,reference_step_120
creas,1501782,Breu Branco,3.096273775345501e-05,79,20704.0,reference_step_120
creas,1501808,Breves,3.461764807698965e-05,64,28887.0,reference_step_120
creas,1501907,Bujaru,2.8171308314038842e-05,39,7707.0,reference_step_120
creas,1501956,Cachoeira do Piriá,4.419269785836176e-05,46,8304.0,reference_step_120
creas,1502004,Cachoeira do Arari,0.00013264358668258389,26,7539.0,reference_step_120
creas,1502103,Cametá,4.2246484566005046e-05,139,42529.0,reference_step_120
creas,1502152,Canaã dos Carajás,3.363108253496799e-05,108,36539.0,reference_step_120
creas,1502202,Capanema,5.3964333396855323e-05,118,35064.0,reference_step_120
creas,1502301,Capitão Poço,5.441122477584188e-05,132,25741.0,reference_step_120
creas,1502400,Castanhal,5.389568345297933e-05,340,97495.0,reference_step_120
creas,1502509,Chaves,0.00043159257660768235,4,2317.0,reference_step_120
creas,1502608,Colares,1.4223462115627292e-05,33,6118.0,reference_step_120
creas,1502707,Conceição do Araguaia,3.183495784949987e-05,79,20299.0,reference_step_120
creas,1502756,Concórdia do Pará,3.269112121996385e-05,66,12238.0,reference_step_120
creas,1502764,Cumaru do Norte,2.567990635593142e-05,20,4478.0,reference_step_120
creas,1502772,Curionópolis,2.6872903411577906e-05,49,9754.0,reference_step_120
creas,1502806,Curralinho,0.00015179113539769278,12,6588.0,reference_step_120
creas,1502855,Curuá,5.9397867993690115e-05,27,4836.0,reference_step_120
creas,1502905,Curuçá,2.0621500368894537e-05,87,19885.0,reference_step_120
creas,1502939,Dom Eliseu,2.9280353587493013e-05,69,29239.0,reference_step_120
creas,1502954,Eldorado do Carajás,5.533851131091541e-05,55,12850.0,reference_step_120
creas,1503002,Faro,0.00015541611171565836,21,3965.0,reference_step_120
creas,1503044,Floresta do Araguaia,4.075191537320624e-05,31,7174.0,reference_step_120
creas,1503077,Garrafão do Norte,3.443659577847771e-05,52,10813.0,reference_step_120
creas,1503093,Goianésia do Pará,4.488543555491808e-05,50,11198.0,reference_step_120
creas,1503101,Gurupá,0.00015444015444015445,14,6475.0,reference_step_120
creas,1503200,Igarapé-Açu,5.837142457102482e-05,61,16638.0,reference_step_120
creas,1503309,Igarapé-Miri,2.9283075685271205e-05,52,16689.0,reference_step_120
creas,1503408,Inhangapi,4.1308540614279524e-05,27,4748.0,reference_step_120
creas,1503457,Ipixuna do Pará,4.03877843449695e-05,63,11531.0,reference_step_120
creas,1503507,Irituia,6.234801732051081e-05,80,12734.0,reference_step_120
creas,1503606,Itaituba,2.199163029724185e-05,202,58684.0,reference_step_120
creas,1503705,Itupiranga,3.006854628264623e-05,94,19975.0,reference_step_120
creas,1503754,Jacareacanga,0.00018198362147406729,23,5495.0,reference_step_120
creas,1503804,Jacundá,2.9400534169961945e-05,86,18315.0,reference_step_120
creas,1503903,Juruti,4.254666147846263e-05,50,17868.0,reference_step_120
creas,1504000,Limoeiro do Ajuru,4.6785762449628546e-05,11,4370.0,reference_step_120
creas,1504059,Mãe do Rio,5.0841714705205815e-05,46,17225.0,reference_step_120
creas,1504109,Magalhães Barata,2.9621684278106027e-05,20,3887.0,reference_step_120
creas,1504208,Marabá,5.149431474256331e-05,474,127275.0,reference_step_120
creas,1504307,Maracanã,3.2729299337691886e-05,81,12462.0,reference_step_120
creas,1504406,Marapanim,2.103164329916827e-05,77,12496.0,reference_step_120
creas,1504422,Marituba,2.8950646168518387e-05,218,53590.0,reference_step_120
creas,1504455,Medicilândia,7.443636515187524e-05,33,7996.0,reference_step_120
creas,1504505,Melgaço,0.00020255215718047398,9,4937.0,reference_step_120
creas,1504604,Mocajuba,2.236730942419949e-05,36,11153.0,reference_step_120
creas,1504703,Moju,2.380751869480452e-05,134,28780.0,reference_step_120
creas,1504752,Mojuí dos Campos,1.8236802698116986e-05,37,9118.0,reference_step_120
creas,1504802,Monte Alegre,6.654810475586503e-05,95,25730.0,reference_step_120
creas,1504901,Muaná,9.607070804111827e-05,25,10409.0,reference_step_120
creas,1504950,Nova Esperança do Piriá,2.997727982816258e-05,32,8302.0,reference_step_120
creas,1504976,Nova Ipixuna,4.758994543242609e-05,25,5349.0,reference_step_120
creas,1505007,Nova Timboteua,5.942507195539448e-05,31,5955.0,reference_step_120
creas,1505031,Novo Progresso,4.1095521338465784e-05,57,15730.0,reference_step_120
creas,1505064,Novo Repartimento,4.450937809686415e-05,93,21996.0,reference_step_120
