scenario,service_type,service_id,weighted_demand,capacity,supply_demand_ratio,supply_mode
reference_network,creas,SITE-0101ec991f50ad,5557.0,1.0,0.00017995321216483713,unit_presence
reference_network,creas,SITE-03a74bcea046c9,1519122.0,1.0,6.582749772565995e-07,unit_presence
reference_network,creas,SITE-040227533e04c2,4937.0,1.0,0.00020255215718047398,unit_presence
reference_network,creas,SITE-04666f8b44bb19,386564.0,1.0,2.586893761447005e-06,unit_presence
reference_network,creas,SITE-08ef9bb419f39f,48907.0,1.0,2.0446970781278752e-05,unit_presence
reference_network,creas,SITE-097e969081cfef,130224.0,1.0,7.679076053569235e-06,unit_presence
reference_network,creas,SITE-0aa0ade6735137,185089.0,1.0,5.402806217549395e-06,unit_presence
reference_network,creas,SITE-12d113cb5eb879,1527453.0,1.0,6.546846285941367e-07,unit_presence
reference_network,creas,SITE-13d3c7226a80e2,1245532.0,1.0,8.028697777335308e-07,unit_presence
reference_network,creas,SITE-154bcbfa675517,540510.0,1.0,1.8501045309059962e-06,unit_presence
reference_network,creas,SITE-15850132cc1049,1290704.0,1.0,7.747709776989922e-07,unit_presence
reference_network,creas,SITE-170969c40c4e1e,42263.0,1.0,2.3661358635212835e-05,unit_presence
reference_network,creas,SITE-1cea477713d69a,105824.0,1.0,9.449652252797097e-06,unit_presence
reference_network,creas,SITE-1f44a6770e0f03,40104.0,1.0,2.4935168561739478e-05,unit_presence
reference_network,creas,SITE-220c7479426e1d,1500403.0,1.0,6.664876036638156e-07,unit_presence
reference_network,creas,SITE-2651a6a3b32c13,200253.0,1.0,4.993682991016365e-06,unit_presence
reference_network,creas,SITE-2764332cfdcaf1,360082.0,1.0,2.777145205814231e-06,unit_presence
reference_network,creas,SITE-2ca7b9f7a0a9bd,87241.0,1.0,1.1462500429843766e-05,unit_presence
reference_network,creas,SITE-2e6d01adca713b,1197832.0,1.0,8.348416138490205e-07,unit_presence
reference_network,creas,SITE-2e8bebb63183fd,54559.0,1.0,1.832878168588134e-05,unit_presence
reference_network,creas,SITE-2f443fb6d4866c,397757.0,1.0,2.514097803432749e-06,unit_presence
reference_network,creas,SITE-313981b443f7cb,173277.0,1.0,5.771106378803881e-06,unit_presence
reference_network,creas,SITE-32cb4e6fb07aa3,86758.0,1.0,1.1526314576177413e-05,unit_presence
reference_network,creas,SITE-38be2a783d09b8,1549172.0,1.0,6.455061155249385e-07,unit_presence
reference_network,creas,SITE-3ab38de29d0b17,1459586.0,1.0,6.851257822423619e-07,unit_presence
reference_network,creas,SITE-3c7fad0168c711,8042.0,1.0,0.00012434717731907486,unit_presence
reference_network,creas,SITE-3d4153acb10262,160357.0,1.0,6.236085733706667e-06,unit_presence
reference_network,creas,SITE-3d89e685fddeae,46178.0,1.0,2.165533370869245e-05,unit_presence
reference_network,creas,SITE-3dad8865f7ad75,12072.0,1.0,8.28363154406892e-05,unit_presence
reference_network,creas,SITE-405fcfc7f8dc0a,87756.0,1.0,1.1395232234832946e-05,unit_presence
reference_network,creas,SITE-41c7744f208cf0,21274.0,1.0,4.7005734699633354e-05,unit_presence
reference_network,creas,SITE-4629879618a3a5,465191.0,1.0,2.1496546579791956e-06,unit_presence
reference_network,creas,SITE-46a7a6b05bc5c8,120394.0,1.0,8.306061763875276e-06,unit_presence
reference_network,creas,SITE-489d3f2e1597dd,362785.0,1.0,2.7564535468666016e-06,unit_presence
reference_network,creas,SITE-49f7d5149fb923,361622.0,1.0,2.7653184817295406e-06,unit_presence
reference_network,creas,SITE-4d84cbcdfaeb79,238681.0,1.0,4.18969251846607e-06,unit_presence
reference_network,creas,SITE-4eb80a52eb70cc,19839.0,1.0,5.040576641967841e-05,unit_presence
reference_network,creas,SITE-521cd93d6c90bd,48449.0,1.0,2.0640260892897688e-05,unit_presence
reference_network,creas,SITE-57118625e55c9b,54169.0,1.0,1.846074322952242e-05,unit_presence
reference_network,creas,SITE-58b07282c62abd,663520.0,1.0,1.5071135760790932e-06,unit_presence
reference_network,creas,SITE-5a4d184fe3798b,77662.0,1.0,1.2876310164559243e-05,unit_presence
reference_network,creas,SITE-5c3ca42a377a16,1359307.0,1.0,7.356689842691901e-07,unit_presence
reference_network,creas,SITE-5fed17be8311cd,1470074.0,1.0,6.802378655768349e-07,unit_presence
reference_network,creas,SITE-621a6568f3847a,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,creas,SITE-6820d86d83d5f3,623840.0,1.0,1.6029751218261093e-06,unit_presence
reference_network,creas,SITE-682378b0f62bee,1492287.0,1.0,6.701123845480125e-07,unit_presence
reference_network,creas,SITE-6a397c878a1720,492750.0,1.0,2.0294266869609335e-06,unit_presence
reference_network,creas,SITE-718b04a4984aea,12072.0,1.0,8.28363154406892e-05,unit_presence
reference_network,creas,SITE-7538dc3e2042a1,555622.0,1.0,1.799784745744409e-06,unit_presence
reference_network,creas,SITE-77cfc28c3d7162,28887.0,1.0,3.461764807698965e-05,unit_presence
reference_network,creas,SITE-7ba48754237a6c,404677.0,1.0,2.4711065862403845e-06,unit_presence
reference_network,creas,SITE-7c28a491e0dd44,27351.0,1.0,3.6561734488684145e-05,unit_presence
reference_network,creas,SITE-7f257fc5e7a118,236800.0,1.0,4.222972972972973e-06,unit_presence
reference_network,creas,SITE-7fc2245b90ad22,1175593.0,1.0,8.506345308282713e-07,unit_presence
reference_network,creas,SITE-7ffb366dafbd48,1470947.0,1.0,6.798341476613366e-07,unit_presence
reference_network,creas,SITE-800dfb53dee0d7,78841.0,1.0,1.2683755913801194e-05,unit_presence
reference_network,creas,SITE-8482b5e961e629,300557.0,1.0,3.327155913853279e-06,unit_presence
reference_network,creas,SITE-849115d03203c2,42119.0,1.0,2.3742254089603267e-05,unit_presence
reference_network,creas,SITE-85408cb28d113b,70656.0,1.0,1.4153079710144928e-05,unit_presence
reference_network,creas,SITE-876adae5ba1f35,62221.0,1.0,1.6071744266405232e-05,unit_presence
reference_network,creas,SITE-87c1b23954be75,1275853.0,1.0,7.837893550432535e-07,unit_presence
reference_network,creas,SITE-8be9431e2cbf3f,1284079.0,1.0,7.787682845058598e-07,unit_presence
reference_network,creas,SITE-8e58f3649b5649,235744.0,1.0,4.2418895072621145e-06,unit_presence
reference_network,creas,SITE-8e7a4adadf8d46,404940.0,1.0,2.4695016545661086e-06,unit_presence
reference_network,creas,SITE-8ece99c53d8d33,228441.0,1.0,4.377497909744748e-06,unit_presence
reference_network,creas,SITE-8f464b897d9bf5,483275.0,1.0,2.0692152501163934e-06,unit_presence
reference_network,creas,SITE-8faae5de6740d5,1491029.0,1.0,6.706777668308263e-07,unit_presence
reference_network,creas,SITE-8ffa800ba16959,1264059.0,1.0,7.911023140533788e-07,unit_presence
reference_network,creas,SITE-95889aee9a1e1f,97366.0,1.0,1.0270525645502536e-05,unit_presence
reference_network,creas,SITE-95ecf92b79f7ed,1486567.0,1.0,6.726908373453736e-07,unit_presence
reference_network,creas,SITE-96d078635ec593,5865.0,1.0,0.00017050298380221653,unit_presence
reference_network,creas,SITE-9828a296519e29,7539.0,1.0,0.00013264358668258389,unit_presence
reference_network,creas,SITE-9958b67601f44e,160196.0,1.0,6.242353117431147e-06,unit_presence
reference_network,creas,SITE-9f16f1e26d395e,33847.0,1.0,2.9544715927556358e-05,unit_presence
reference_network,creas,SITE-a0461040dc485e,50254.0,1.0,1.9898913519321845e-05,unit_presence
reference_network,creas,SITE-a26680bff63d34,1297549.0,1.0,7.706838046193245e-07,unit_presence
reference_network,creas,SITE-a2762970794541,24233.0,1.0,4.12660421738951e-05,unit_presence
reference_network,creas,SITE-a370b9c1e47a5b,4978.0,1.0,0.0002008838891120932,unit_presence
reference_network,creas,SITE-a5d71af4bca7e3,1439497.0,1.0,6.946871025087235e-07,unit_presence
reference_network,creas,SITE-a7d0ef935ff389,144697.0,1.0,6.910993317069462e-06,unit_presence
reference_network,creas,SITE-a800a98c78e24e,72784.0,1.0,1.3739283358979996e-05,unit_presence
reference_network,creas,SITE-ac28a9dd7d5358,2317.0,1.0,0.00043159257660768235,unit_presence
reference_network,creas,SITE-ad091910edcda8,1529931.0,1.0,6.536242484138174e-07,unit_presence
reference_network,creas,SITE-ae02c0a2fce064,11688.0,1.0,8.555783709787816e-05,unit_presence
reference_network,creas,SITE-ae105c95910e0f,203862.0,1.0,4.905279061325799e-06,unit_presence
reference_network,creas,SITE-b0c3a663741735,1510836.0,1.0,6.618852079246192e-07,unit_presence
reference_network,creas,SITE-b1d080ac7bbab0,440584.0,1.0,2.269714742251194e-06,unit_presence
reference_network,creas,SITE-b24c937dbc126d,115303.0,1.0,8.672801228068655e-06,unit_presence
reference_network,creas,SITE-b60868244ae0ee,198804.0,1.0,5.030079877668457e-06,unit_presence
reference_network,creas,SITE-b701e36715ac01,1556479.0,1.0,6.42475741722182e-07,unit_presence
reference_network,creas,SITE-b74fc51efde375,1484000.0,1.0,6.738544474393531e-07,unit_presence
reference_network,creas,SITE-b7bb9725bd30d9,1629554.0,1.0,6.136648432638624e-07,unit_presence
reference_network,creas,SITE-ba66b0a5f762a5,6424.0,1.0,0.00015566625155666251,unit_presence
reference_network,creas,SITE-ba7cbfa3971828,475586.0,1.0,2.102669128191326e-06,unit_presence
reference_network,creas,SITE-bc232495f2fe13,124237.0,1.0,8.049131901124463e-06,unit_presence
reference_network,creas,SITE-be97cdb98481c5,24500.0,1.0,4.0816326530612245e-05,unit_presence
reference_network,creas,SITE-c0eacfa166c259,84699.0,1.0,1.180651483488589e-05,unit_presence
reference_network,creas,SITE-c2e03dde9eeca9,115589.0,1.0,8.65134225575098e-06,unit_presence
reference_network,creas,SITE-c44cc1a5631a28,1228219.0,1.0,8.141870464469285e-07,unit_presence
reference_network,creas,SITE-c4fb244ea6f297,15235.0,1.0,6.563833278634722e-05,unit_presence
reference_network,creas,SITE-c584d6b85f5ea2,13296.0,1.0,7.521058965102287e-05,unit_presence
reference_network,creas,SITE-c5e71ea1321f2b,268195.0,1.0,3.7286302876638265e-06,unit_presence
reference_network,creas,SITE-c63b9024532a17,43933.0,1.0,2.2761932943345547e-05,unit_presence
reference_network,creas,SITE-c7281d7fe8ef6f,459638.0,1.0,2.175625165891419e-06,unit_presence
reference_network,creas,SITE-c7bd6774e6fb8f,160452.0,1.0,6.232393488395283e-06,unit_presence
reference_network,creas,SITE-c93228f4fa5961,222648.0,1.0,4.491394488160684e-06,unit_presence
reference_network,creas,SITE-ca24dda69dd327,1274270.0,1.0,7.847630407998305e-07,unit_presence
reference_network,creas,SITE-ca4f7893017a6a,427710.0,1.0,2.338032779219565e-06,unit_presence
reference_network,creas,SITE-cc47e07831599b,7656.0,1.0,0.00013061650992685477,unit_presence
reference_network,creas,SITE-cd8df6fc331a80,240329.0,1.0,4.16096268032572e-06,unit_presence
reference_network,creas,SITE-d2a05deed7c913,1143255.0,1.0,8.746954966302356e-07,unit_presence
reference_network,creas,SITE-d4596ca2f522d7,6120.0,1.0,0.0001633986928104575,unit_presence
reference_network,creas,SITE-d7631bd0ed1082,27152.0,1.0,3.682969946965233e-05,unit_presence
reference_network,creas,SITE-d863ab37b00e21,153903.0,1.0,6.4975991371188345e-06,unit_presence
reference_network,creas,SITE-dae09504af11b1,1334.0,1.0,0.0007496251874062968,unit_presence
