service_type,value_variant,pairwise_comparison_count,spearman_min,spearman_median,spearman_max
creas,observed_population_weighted_mean,15,0.4227015347574048,0.7720746129803892,0.9932121311609964
creas,lower_sensitivity_envelope,15,0.48170840761033934,0.7760210274176306,0.9935775576231336
creas,upper_sensitivity_envelope,15,0.9689172896069448,0.9855437665782494,0.9994333252953943
health,observed_population_weighted_mean,15,0.7419120614195017,0.8974507512673682,0.9969058649805633
health,lower_sensitivity_envelope,15,0.7115152206661216,0.8894489407280836,0.9973085978728586
health,upper_sensitivity_envelope,15,0.957145727835383,0.9839643115505184,0.999485571899365
specialized_justice,observed_population_weighted_mean,15,0.6831906241504853,0.8801134298635005,0.999385118954055
specialized_justice,lower_sensitivity_envelope,15,0.6979601604064649,0.8958859586516066,0.9993280134397312
specialized_justice,upper_sensitivity_envelope,15,0.5958725182863114,0.8869463869463869,0.9906036492243389
specialized_security,observed_population_weighted_mean,15,0.6028634307540142,0.8364891521485877,0.9931427483632812
specialized_security,lower_sensitivity_envelope,15,0.6595604839682282,0.8535086599664964,0.9936448711839317
specialized_security,upper_sensitivity_envelope,15,0.9330118157704365,0.9737842617152962,0.9987541194437746
