municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security
1507805,Senador José Porfírio,4,1,0.2604714688433681,True,True,0.9887,4,True,0.12062937062937064,Lower E2SFCA accessibility quartile,0.03496503496503497,0.1048951048951049,0.24125874125874125,0.10139860139860139
1506401,Santa Cruz do Arari,3,2,0.2584090483161511,True,True,0.911,4,True,0.11451048951048952,Lower E2SFCA accessibility quartile,0.01048951048951049,0.1048951048951049,0.24125874125874125,0.10139860139860139
1506583,Santa Maria das Barreiras,3,3,0.2186650072098575,True,True,0.9396,4,True,0.6722027972027973,Higher E2SFCA accessibility quartile,0.6783216783216783,0.9440559440559441,0.24125874125874125,0.8251748251748252
1501253,Bannach,3,4,0.2178327047212709,True,True,0.9473,4,True,0.5166083916083917,Intermediate E2SFCA accessibility,0.5174825174825175,0.5874125874125874,0.24125874125874125,0.7202797202797203
1508050,Trairão,3,5,0.2084886889234546,True,True,0.985,4,True,0.3330419580419581,Lower E2SFCA accessibility quartile,0.01048951048951049,0.9790209790209791,0.24125874125874125,0.10139860139860139
1505635,Piçarra,3,6,0.192139634361444,True,True,0.8955,4,True,0.3409090909090909,Lower E2SFCA accessibility quartile,0.17482517482517482,0.23776223776223776,0.6013986013986014,0.34965034965034963
1505551,Pau D'Arco,3,7,0.1763407974244889,True,True,0.8203,4,True,0.638986013986014,Higher E2SFCA accessibility quartile,0.8531468531468531,0.6153846153846154,0.24125874125874125,0.8461538461538461
1501105,Bagre,4,8,0.1671143700314881,True,True,1.0,4,True,0.1722027972027972,Lower E2SFCA accessibility quartile,0.027972027972027972,0.1048951048951049,0.24125874125874125,0.3146853146853147
1505494,Palestina do Pará,3,9,0.1487911343219443,True,True,0.7393,4,True,0.42482517482517484,Intermediate E2SFCA accessibility,0.3076923076923077,0.26573426573426573,0.7832167832167832,0.34265734265734266
1507755,Sapucaia,1,10,0.1401018858586221,True,True,0.686,4,True,0.6197552447552448,Higher E2SFCA accessibility quartile,0.6363636363636364,0.6573426573426573,0.24125874125874125,0.9440559440559441
1502608,Colares,2,11,0.1349953295632244,False,True,0.6828,4,True,0.40122377622377625,Intermediate E2SFCA accessibility,0.04895104895104895,0.2727272727272727,0.9265734265734266,0.35664335664335667
1502764,Cumaru do Norte,3,12,0.1164656660165274,False,True,0.739,4,True,0.40297202797202797,Intermediate E2SFCA accessibility,0.18181818181818182,0.43356643356643354,0.24125874125874125,0.7552447552447552
1501006,Aveiro,4,13,0.115383841213345,False,True,0.8748,4,True,0.6389860139860141,Higher E2SFCA accessibility quartile,0.993006993006993,0.986013986013986,0.24125874125874125,0.3356643356643357
1500131,Abel Figueiredo,1,14,0.1144194981219159,False,True,0.5827,4,True,0.5358391608391608,Intermediate E2SFCA accessibility,0.48951048951048953,0.32167832167832167,0.9475524475524476,0.38461538461538464
1500305,Afuá,4,15,0.1108611480157066,False,True,0.805,0,False,,E2SFCA coverage incomplete,,,,
1503408,Inhangapi,3,16,0.1106825449812666,False,True,0.5629,4,True,0.6590909090909091,Higher E2SFCA accessibility quartile,0.4755244755244755,0.7272727272727273,0.8951048951048951,0.5384615384615384
1504000,Limoeiro do Ajuru,4,17,0.1048824948316475,False,True,0.7181,4,True,0.4781468531468531,Intermediate E2SFCA accessibility,0.5804195804195804,0.1048951048951049,0.24125874125874125,0.986013986013986
1503754,Jacareacanga,4,18,0.1033477298449179,False,True,0.9592,4,True,0.35664335664335667,Lower E2SFCA accessibility quartile,0.9790209790209791,0.1048951048951049,0.24125874125874125,0.10139860139860139
1504752,Mojuí dos Campos,2,19,0.0970757850795652,False,True,0.8786,4,True,0.6678321678321678,Higher E2SFCA accessibility quartile,0.07692307692307693,0.8881118881118881,0.993006993006993,0.7132867132867133
1506005,Prainha,4,20,0.0954663631460132,False,True,0.8168,4,True,0.30419580419580416,Lower E2SFCA accessibility quartile,0.24475524475524477,0.22377622377622378,0.5314685314685315,0.21678321678321677
