som_profile,service_type,municipality_count_profile,municipalities_with_e2sfca,coverage_share,median_e2sfca_score,median_within_service_percentile,mean_within_service_percentile
1,creas,30,30,1.0,3.402258448945389e-05,0.3776223776223776,0.3974358974358975
1,health,30,30,1.0,1.1248862066651799e-05,0.5244755244755245,0.5123543123543123
1,specialized_justice,30,30,1.0,7.379534087211777e-08,0.38286713286713286,0.5398601398601399
1,specialized_security,30,30,1.0,5.991987603898381e-06,0.7132867132867133,0.6589743589743589
2,creas,33,33,1.0,4.1435955906231136e-05,0.4825174825174825,0.46662428480610296
2,health,33,33,1.0,1.134026059733717e-05,0.5244755244755245,0.5738503920322101
2,specialized_justice,33,33,1.0,1.390071862944307e-06,0.6713286713286714,0.6928374655647382
2,specialized_security,33,33,1.0,3.919300990753173e-06,0.5104895104895105,0.49883449883449876
3,creas,53,53,1.0,4.450937809686415e-05,0.5524475524475524,0.5298852091304921
3,health,53,53,1.0,1.2438765553722656e-05,0.5594405594405595,0.5239477503628447
3,specialized_justice,53,53,1.0,0.0,0.24125874125874125,0.47842723314421415
3,specialized_security,53,53,1.0,4.012623166883814e-06,0.5384615384615384,0.5348330914368651
4,creas,28,27,0.9642857142857143,5.920091432678823e-05,0.7412587412587412,0.6146076146076146
4,health,28,27,0.9642857142857143,0.0,0.1048951048951049,0.36752136752136755
4,specialized_justice,28,27,0.9642857142857143,0.0,0.24125874125874125,0.2808857808857809
4,specialized_security,28,27,0.9642857142857143,0.0,0.10139860139860139,0.274928774928775
