municipality_code,municipality_name,total_origins,routing_ready_origins,total_female_population,routing_ready_female_population,primary_female_population_coverage_fraction,excluded_origins,sensitivity_candidate_origins,sensitivity_candidate_female_population,existing_evidence_ceiling_female_population,existing_evidence_ceiling_coverage_fraction
1500305,Afuá,44,0,18057.0,0.0,0.0,44,6,3398.0,3398.0,0.18818186852744087
1502509,Chaves,33,4,9631.0,2317.0,0.24057730246080367,29,0,0.0,2317.0,0.24057730246080367
1504000,Limoeiro do Ajuru,44,11,14278.0,4370.0,0.30606527524863425,33,0,0.0,4370.0,0.30606527524863425
1504505,Melgaço,30,9,13313.0,4937.0,0.3708405318110118,21,0,0.0,4937.0,0.3708405318110118
1502806,Curralinho,52,12,16012.0,6588.0,0.41144141893579816,40,0,0.0,6588.0,0.41144141893579816
1503101,Gurupá,60,14,15059.0,6475.0,0.42997542997543,46,0,0.0,6475.0,0.42997542997543
1501105,Bagre,43,18,15637.0,6788.0,0.4340986122657799,25,0,0.0,6788.0,0.4340986122657799
1507706,São Sebastião da Boa Vista,38,16,12314.0,5557.0,0.45127497157706675,22,0,0.0,5557.0,0.45127497157706675
1500701,Anajás,35,11,13503.0,6120.0,0.4532326149744501,24,0,0.0,6120.0,0.4532326149744501
1504901,Muaná,63,25,22371.0,10409.0,0.46528988422511286,38,0,0.0,10409.0,0.46528988422511286
