municipality_code,municipality_name,total_origins,routing_ready_origins,total_female_population,routing_ready_female_population,origin_coverage_fraction,female_population_coverage_fraction
1500305,Afuá,44,0,18057.0,0.0,0.0,0.0
1502509,Chaves,33,4,9631.0,2317.0,0.12121212121212122,0.24057730246080367
1504000,Limoeiro do Ajuru,44,11,14278.0,4370.0,0.25,0.30606527524863425
1504505,Melgaço,30,9,13313.0,4937.0,0.3,0.3708405318110118
1502806,Curralinho,52,12,16012.0,6588.0,0.23076923076923078,0.41144141893579816
1503101,Gurupá,60,14,15059.0,6475.0,0.23333333333333334,0.42997542997543
1501105,Bagre,43,18,15637.0,6788.0,0.4186046511627907,0.4340986122657799
1507706,São Sebastião da Boa Vista,38,16,12314.0,5557.0,0.42105263157894735,0.45127497157706675
1500701,Anajás,35,11,13503.0,6120.0,0.3142857142857143,0.4532326149744501
1504901,Muaná,63,25,22371.0,10409.0,0.3968253968253968,0.46528988422511286
1503754,Jacareacanga,129,23,10969.0,5495.0,0.17829457364341086,0.5009572431397575
1505809,Portel,80,29,29872.0,15599.0,0.3625,0.5221946973754686
1503309,Igarapé-Miri,106,52,31557.0,16689.0,0.49056603773584906,0.5288525525240042
1505908,Porto de Moz,55,24,19474.0,10600.0,0.43636363636363634,0.5443154975865256
1501006,Aveiro,68,24,8637.0,4724.0,0.35294117647058826,0.5469491721662615
1501808,Breves,123,64,51689.0,28887.0,0.5203252032520326,0.5588616533498423
1504455,Medicilândia,60,33,12769.0,7996.0,0.55,0.6262040880256872
1502004,Cachoeira do Arari,53,26,11853.0,7539.0,0.49056603773584906,0.6360415084788661
1501907,Bujaru,62,39,12019.0,7707.0,0.6290322580645161,0.6412347117064647
1505650,Placas,48,31,8811.0,5696.0,0.6458333333333334,0.6464646464646465
1502103,Cametá,235,139,65255.0,42529.0,0.5914893617021276,0.6517354991954639
1505700,Ponta de Pedras,58,25,12102.0,8042.0,0.43103448275862066,0.6645182614443893
1507805,Senador José Porfírio,59,31,10333.0,6913.0,0.5254237288135594,0.6690215813413336
1505205,Oeiras do Pará,75,50,16181.0,10899.0,0.6666666666666666,0.6735677646622582
1508035,Tracuateua,61,41,13889.0,9773.0,0.6721311475409836,0.7036503707970336
1501725,Brasil Novo,58,37,12071.0,8590.0,0.6379310344827587,0.7116228978543617
1507201,São Domingos do Capim,57,44,14580.0,10381.0,0.7719298245614035,0.712002743484225
1502855,Curuá,33,27,6779.0,4836.0,0.8181818181818182,0.7133795545065644
1504703,Moju,207,134,40181.0,28780.0,0.6473429951690821,0.7162589283492198
1503903,Juruti,78,50,24727.0,17868.0,0.6410256410256411,0.7226109111497553
1502764,Cumaru do Norte,32,20,6195.0,4478.0,0.625,0.7228410008071025
1506005,Prainha,75,49,17090.0,12430.0,0.6533333333333333,0.727325921591574
1505486,Pacajá,94,64,19463.0,14166.0,0.6808510638297872,0.7278425730873966
1508159,Uruará,100,64,20731.0,15110.0,0.64,0.7288601611113791
1500404,Alenquer,101,64,33685.0,24692.0,0.6336633663366337,0.7330265696897729
1505106,Óbidos,127,74,25201.0,18742.0,0.5826771653543307,0.7437006467997301
1500206,Acará,167,128,28466.0,21279.0,0.7664670658682635,0.7475233612028385
1505064,Novo Repartimento,148,93,29376.0,21996.0,0.6283783783783784,0.7487745098039216
1505304,Oriximiná,166,65,33637.0,25385.0,0.39156626506024095,0.7546749115557273
1500859,Anapu,68,42,15212.0,11682.0,0.6176470588235294,0.7679463581383119
1500503,Almeirim,76,44,16607.0,12803.0,0.5789473684210527,0.7709399650749684
1505551,Pau D'Arco,20,13,3360.0,2610.0,0.65,0.7767857142857143
1500107,Abaetetuba,274,189,78869.0,61390.0,0.6897810218978102,0.7783793378894116
1501204,Baião,94,61,25709.0,20104.0,0.648936170212766,0.7819829631646505
1503457,Ipixuna do Pará,84,63,14691.0,11531.0,0.75,0.7849023211490028
1500958,Aurora do Pará,54,40,11668.0,9167.0,0.7407407407407407,0.7856530682207747
1506401,Santa Cruz do Arari,12,8,3553.0,2852.0,0.6666666666666666,0.8027019420208275
1504976,Nova Ipixuna,32,25,6661.0,5349.0,0.78125,0.8030325776910374
1505635,Piçarra,36,28,6098.0,4910.0,0.7777777777777778,0.8051820268940636
1504752,Mojuí dos Campos,47,37,11270.0,9118.0,0.7872340425531915,0.8090505767524401
1504950,Nova Esperança do Piriá,40,32,9961.0,8302.0,0.8,0.8334504567814477
1504604,Mocajuba,57,36,13343.0,11153.0,0.631578947368421,0.8358689949786405
1507300,São Félix do Xingu,196,128,30503.0,25504.0,0.6530612244897959,0.8361144805428974
1506583,Santa Maria das Barreiras,48,38,7755.0,6519.0,0.7916666666666666,0.8406189555125725
1503705,Itupiranga,120,94,23706.0,19975.0,0.7833333333333333,0.8426136842993335
1506906,Santarém Novo,20,16,2911.0,2457.0,0.8,0.8440398488491927
1503507,Irituia,94,80,15041.0,12734.0,0.851063829787234,0.8466192407419719
1500347,Água Azul do Norte,51,38,8359.0,7078.0,0.7450980392156863,0.8467520038282091
1501253,Bannach,13,11,1866.0,1582.0,0.8461538461538461,0.8478027867095391
1503044,Floresta do Araguaia,41,31,8400.0,7174.0,0.7560975609756098,0.854047619047619
1501451,Belterra,58,43,8901.0,7617.0,0.7413793103448276,0.8557465453319851
1508308,Viseu,132,113,28216.0,24311.0,0.8560606060606061,0.8616033456195067
1500800,Ananindeua,741,637,251064.0,216395.0,0.8596491228070176,0.8619117037886754
1506187,Rondon do Pará,73,62,25787.0,22229.0,0.8493150684931506,0.8620235002132858
1506195,Rurópolis,65,53,17398.0,15024.0,0.8153846153846154,0.8635475341993333
1501600,Bonito,31,26,6145.0,5332.0,0.8387096774193549,0.8676973148901546
1504802,Monte Alegre,113,95,29651.0,25730.0,0.8407079646017699,0.8677616269265792
1503093,Goianésia do Pará,61,50,12826.0,11198.0,0.819672131147541,0.8730703259005146
1507474,São João de Pirabas,40,36,10031.0,8770.0,0.9,0.8742897019240355
1506559,Santa Luzia do Pará,67,46,10113.0,8898.0,0.6865671641791045,0.8798576090180955
1508357,Vitória do Xingu,51,36,7571.0,6678.0,0.7058823529411765,0.8820499273543786
1507979,Terra Santa,31,25,9262.0,8173.0,0.8064516129032258,0.8824228028503563
1505494,Palestina do Pará,17,13,3347.0,2963.0,0.7647058823529411,0.8852703913952794
1501758,Brejo Grande do Araguaia,22,17,3340.0,2980.0,0.7727272727272727,0.8922155688622755
1501956,Cachoeira do Piriá,54,46,9279.0,8304.0,0.8518518518518519,0.8949240219851277
1508126,Ulianópolis,58,50,18961.0,17003.0,0.8620689655172413,0.8967354042508306
1503077,Garrafão do Norte,62,52,12009.0,10813.0,0.8387096774193549,0.9004080273128487
1500909,Augusto Corrêa,97,85,21759.0,19652.0,0.8762886597938144,0.9031665058136863
1506302,Salvaterra,68,55,12062.0,10910.0,0.8088235294117647,0.9044934505057205
1501709,Bragança,227,195,61501.0,55750.0,0.8590308370044053,0.9064893253768231
1501303,Barcarena,260,238,63256.0,57552.0,0.9153846153846154,0.9098267358037182
1507458,São Geraldo do Araguaia,59,47,12002.0,10931.0,0.7966101694915254,0.9107648725212465
1508001,Tomé-Açu,133,117,33112.0,30224.0,0.8796992481203008,0.912780864943223
1500602,Altamira,346,254,63164.0,57798.0,0.7341040462427746,0.9150465455006016
1501782,Breu Branco,93,79,22609.0,20704.0,0.8494623655913979,0.9157415188641691
1502707,Conceição do Araguaia,94,79,22127.0,20299.0,0.8404255319148937,0.9173859990057396
