outcome,outcome_label,som_profile,n,mean,sd,median,q1,q3
e2sfca_creas,E2SFCA CREAS percentile,1,30,0.3974358974358973,0.22876259145904884,0.3776223776223776,0.20454545454545447,0.5821678321678321
e2sfca_creas,E2SFCA CREAS percentile,2,33,0.46662428480610296,0.2655172140295047,0.4825174825174825,0.2797202797202797,0.6993006993006993
e2sfca_creas,E2SFCA CREAS percentile,3,53,0.5298852091304921,0.28189843016256994,0.5524475524475524,0.3006993006993007,0.7902097902097902
e2sfca_creas,E2SFCA CREAS percentile,4,27,0.6146076146076147,0.3539665460425256,0.7412587412587412,0.34615384615384615,0.9475524475524475
e2sfca_health,E2SFCA health percentile,1,30,0.5123543123543123,0.24620763966358852,0.5244755244755245,0.33041958041958036,0.6468531468531469
e2sfca_health,E2SFCA health percentile,2,33,0.5738503920322102,0.2355858548454001,0.5244755244755245,0.3986013986013986,0.8041958041958042
e2sfca_health,E2SFCA health percentile,3,53,0.5239477503628446,0.29113299644732565,0.5594405594405595,0.2587412587412587,0.7552447552447552
e2sfca_health,E2SFCA health percentile,4,27,0.36752136752136755,0.35017890836634336,0.1048951048951049,0.1048951048951049,0.7097902097902098
e2sfca_specialized_justice,E2SFCA specialized justice percentile,1,30,0.5398601398601399,0.31300168533627193,0.3828671328671328,0.2412587412587412,0.8479020979020979
e2sfca_specialized_justice,E2SFCA specialized justice percentile,2,33,0.6928374655647382,0.18137242209355492,0.6713286713286714,0.5874125874125874,0.8111888111888111
e2sfca_specialized_justice,E2SFCA specialized justice percentile,3,53,0.4784272331442142,0.273872040410419,0.2412587412587412,0.2412587412587412,0.7132867132867133
e2sfca_specialized_justice,E2SFCA specialized justice percentile,4,27,0.2808857808857808,0.09709185971243035,0.2412587412587412,0.2412587412587412,0.2412587412587412
e2sfca_specialized_security,E2SFCA specialized security percentile,1,30,0.658974358974359,0.2609149715076253,0.7132867132867133,0.5751748251748252,0.8706293706293706
e2sfca_specialized_security,E2SFCA specialized security percentile,2,33,0.49883449883449876,0.17497735218318633,0.5104895104895105,0.3986013986013986,0.6503496503496503
e2sfca_specialized_security,E2SFCA specialized security percentile,3,53,0.534833091436865,0.2999649845399047,0.5384615384615384,0.2727272727272727,0.8111888111888111
e2sfca_specialized_security,E2SFCA specialized security percentile,4,27,0.2749287749287749,0.2777061498858995,0.1013986013986013,0.1013986013986013,0.3251748251748252
promethee_net_flow,PROMETHEE-II net flow,1,30,-0.09264063467443305,0.14024058288057972,-0.07292026436243726,-0.20954554107280984,0.008610115560472349
promethee_net_flow,PROMETHEE-II net flow,2,33,-0.010777004081506909,0.06538387793470485,-0.0128805100312261,-0.0396709852178375,0.0118922976137057
promethee_net_flow,PROMETHEE-II net flow,3,53,0.03191331355024431,0.09545936236308124,0.0339889225426072,-0.0286897834214388,0.0692613461229705
promethee_net_flow,PROMETHEE-II net flow,4,28,0.051551948455706084,0.08137753343998662,0.06909422532038935,0.00570258966250505,0.0932042945474969
promethee_rank,PROMETHEE-II rank,1,30,100.33333333333333,42.109326785153556,118.0,73.0,135.75
promethee_rank,PROMETHEE-II rank,2,33,82.63636363636364,32.357203778504044,89.0,68.0,103.0
promethee_rank,PROMETHEE-II rank,3,53,62.64150943396226,39.55720995237474,56.0,35.0,97.0
promethee_rank,PROMETHEE-II rank,4,28,49.392857142857146,36.40954218202643,36.5,22.25,75.75
robustness_top_quartile_probability,Robust top-quartile probability,1,30,0.11454333333333334,0.21103180457037726,0.0033499999999999997,0.0,0.11162499999999999
robustness_top_quartile_probability,Robust top-quartile probability,2,33,0.11985151515151515,0.2477379123201727,0.0,0.0,0.0819
robustness_top_quartile_probability,Robust top-quartile probability,3,53,0.30288301886792446,0.3095205919183414,0.2268,0.0236,0.4585
robustness_top_quartile_probability,Robust top-quartile probability,4,28,0.44842142857142847,0.3432576695020195,0.4918,0.09035,0.698975
