service_id,service_name,service_type,provider_source,municipality_code,municipality_name,address_public,latitude,longitude,capacity,capacity_type,capacity_source,reference_date,validation_status,redistribution_status,functional_records,service_ids,service_names
CNES-179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA,health,CNES,150360.0,,"AVENIDA MARECHAL RONDON, S/N",-4.27455,-55.988,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA
CNES-858560,CTA RUROPOLIS,health,CNES,150619.0,,"RUA MINISTRO SERGIO MOTA, S/N",-4.093640630264241,-54.90546226501465,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-858560,CTA RUROPOLIS
CNES-949701,USF ERNANE FERNANDES GUSMAO,health,CNES,150095.0,,"RUA DA MANGUEIRA, S/N",-2.143142972762205,-47.55612373352051,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-949701,USF ERNANE FERNANDES GUSMAO
CNES-2313669,HOSPITAL MUNICIPAL LUIZ CARLOS DE SOUSA,health,CNES,150540.0,,"RUA LUIZ DE MOURA, 365",-1.546602717486488,-47.11583019512196,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2313669,HOSPITAL MUNICIPAL LUIZ CARLOS DE SOUSA
CNES-2313820,ESTRATEGIA DE SAUDE DA FAMILIA DO MANGUEIRAO,health,CNES,150830.0,,"RUA 8 DE MAIO, S/N",-1.2001900241984005,-46.13807201385498,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2313820,ESTRATEGIA DE SAUDE DA FAMILIA DO MANGUEIRAO
CNES-2313839,ESTRATEGIA DE SAUDE DA FAMILIA DO JAPIM,health,CNES,150830.0,,"JAPIM, S/N",-1.799144644775151,-46.698288917541504,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2313839,ESTRATEGIA DE SAUDE DA FAMILIA DO JAPIM
CNES-2314037,HOSPITAL MUNICIPAL WANDICK GUTIERREZ,health,CNES,150130.0,,"TV SANTO ANTONIO ENTRE JOAO PANTOJA E TOME SERRA, 356",-1.5048466213392289,-48.62299919128418,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2314037,HOSPITAL MUNICIPAL WANDICK GUTIERREZ
CNES-2315416,CENTRO DE ESPECIALIDADE DE BONITO,health,CNES,150160.0,,"AVENIDA RUTH PASSARINHO, S/N",-1.3655656983736264,-47.30779409408569,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2315416,CENTRO DE ESPECIALIDADE DE BONITO
CNES-2316757,HOSPITAL MUNICIPAL DE JURUTI FRANCISCO RODRIGUES BARROS,health,CNES,150390.0,,"TRAVESSA DARIO RODRIGUES DE SOUZA, S/N",-2.1598896006368604,-56.09136343002319,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2316757,HOSPITAL MUNICIPAL DE JURUTI FRANCISCO RODRIGUES BARROS
CNES-2329565,HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS,health,CNES,150670.0,,"AV VINICIUS DE FREITAS, S/N",-9.340346,-50.341739,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2329565,HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS
