origin_id,SITE-006e821a065971,SITE-0101ec991f50ad,SITE-03a74bcea046c9,SITE-040227533e04c2,SITE-04666f8b44bb19,SITE-077bef27f16e42,SITE-08ef9bb419f39f,SITE-097e969081cfef,SITE-0a2b2e0c082b9d,SITE-0aa0ade6735137,SITE-0ad15b4ef7d9c9,SITE-0bc277425d526d,SITE-11255cd7680d88,SITE-12d113cb5eb879,SITE-13d3c7226a80e2,SITE-1462ebd3576b1c,SITE-154bcbfa675517,SITE-15850132cc1049,SITE-170969c40c4e1e,SITE-198118f05c2209,SITE-1cea477713d69a,SITE-1d1d8df114a006,SITE-1d2833b582b2f7,SITE-1f44a6770e0f03,SITE-1faedaf402f505,SITE-220c7479426e1d,SITE-2510152617fff3,SITE-25d38c9841ea05,SITE-260d10dc753430,SITE-2651a6a3b32c13,SITE-266b07c1dcc19a,SITE-2764332cfdcaf1,SITE-27c2bf085b0918,SITE-297435db9d61e6,SITE-2ca7b9f7a0a9bd,SITE-2e6d01adca713b,SITE-2e8bebb63183fd,SITE-2f443fb6d4866c,SITE-313981b443f7cb,SITE-32cb4e6fb07aa3
150010705000002,175.9470927,,153.0891381,,235.9120903,37.19085001,,107.6844335,,490.6316799,449.0088729,,,175.1381699,21.73188896,133.8018512,201.5881317,2.867664426,470.434063,,561.3086524,,201.586439,,,78.12539692,,,90.82358163,380.0695096,,231.3802733,339.5297596,96.36845451,,131.1087591,684.8731601,230.9222787,408.7234972,
150010705000003,176.6214812,,153.7635266,,236.5864789,37.86523853,,108.358822,,491.3060684,449.6832614,,,175.8125584,22.40627749,134.4762397,202.2625203,3.54205295,471.1084515,,561.9830409,,202.2608275,,,78.79978545,,,91.49797015,380.7438981,,232.0546618,340.2041482,97.04284304,,131.7831477,685.5475486,231.5966673,409.3978857,
150010705000004,176.8155126,,153.957558,,236.7805102,38.05926986,,108.5528534,,491.5000997,449.8772927,,,176.0065898,22.60030882,134.6702711,202.4565516,3.736084277,471.3024828,,562.1770722,,202.4548589,,,78.99381678,,,91.69200148,380.9379294,,232.2486931,340.3981795,97.23687437,,131.977179,685.7415799,231.7906986,409.591917,
150010705000005,177.0126651,,154.1547105,,236.9776627,38.25642237,,108.7500059,,491.6972522,450.0744452,,,176.2037423,22.79746133,134.8674236,202.6537041,3.933236787,471.4996354,,562.3742247,,202.6520114,,,79.19096929,,,91.88915399,381.1350819,,232.4458456,340.595332,97.43402688,,132.1743315,685.9387324,231.9878511,409.7890695,
150010705000007,176.773274,,153.9153194,,236.7382716,38.01703131,,108.5106148,,491.4578612,449.8350542,,,175.9643512,22.55807027,134.6280325,202.414313,3.693845728,471.2602443,,562.1348337,,202.4126203,,,78.95157823,,,91.64976293,380.8956909,,232.2064546,340.3559409,97.19463582,,131.9349404,685.6993414,231.74846,409.5496785,
150010705000010,177.1949339,,154.3369793,,237.1599315,38.43869119,,108.9322747,,491.879521,450.2567141,,,176.3860111,22.97973014,135.0496924,202.8359729,4.115505606,471.6819042,,562.5564935,,202.8342802,,,79.3732381,,,92.07142281,381.3173508,,232.6281145,340.7776008,97.61629569,,132.3566003,686.1210012,232.1701199,409.9713384,
150010705000011,177.3958147,,154.5378601,,237.3608124,38.63957203,,109.1331555,,492.0804019,450.4575949,,,176.5868919,23.18061099,135.2505732,203.0368538,4.316386446,471.882785,,562.7573744,,203.035161,,,79.57411895,,,92.27230365,381.5182316,,232.8289953,340.9784817,97.81717654,,132.5574811,686.3218821,232.3710008,410.1722192,
150010705000013,176.6864322,,153.8284775,,236.6514298,37.86513177,,108.423773,,491.3710193,449.7482123,,,175.8775093,22.4712284,134.5411907,202.3274712,3.607003861,471.1734024,,562.0479918,,202.3257784,,,78.86473636,,,91.56292107,380.808849,,232.1196127,340.2690991,97.10779395,,131.8480986,685.6124995,231.6616182,409.4628366,
150010705000014,176.3611438,,153.5031892,,236.3261414,37.60490111,,108.0984846,,491.045731,449.422924,,,175.552221,22.14594006,134.2159023,202.0021828,3.281715526,470.8481141,,561.7227035,,202.0004901,,,78.53944802,,,91.23763273,380.4835607,,231.7943244,339.9438107,96.78250561,,131.5228102,685.2872112,231.3363298,409.1375483,
150010705000015,176.347338,,153.4893834,,236.3123357,37.59109533,,108.0846788,,491.0319252,449.4091182,,,175.5384152,22.13213429,134.2020965,201.9883771,3.267909747,470.8343083,,561.7088977,,201.9866843,,,78.52564225,,,91.22382695,380.4697549,,231.7805186,339.930005,96.76869984,,131.5090044,685.2734054,231.3225241,409.1237425,
