municipality_code,municipality_name,reference_year,reference_date,source,accessibility_coverage_status,criterion__reachable_service_fraction,criterion__services_within_120_fraction,criterion__nearest_reachable_service_time_min,criterion__median_reachable_service_time_min,diagnostic__health_specialized_unit_count,diagnostic__creas_unit_count,diagnostic__specialized_security_unit_count,diagnostic__specialized_justice_unit_count,diagnostic__health_specialized_present,criterion__health_specialized_absence,diagnostic__creas_present,criterion__creas_absence,diagnostic__specialized_security_present,criterion__specialized_security_absence,diagnostic__specialized_justice_present,criterion__specialized_justice_absence,diagnostic__institutional_pillars_present,diagnostic__institutional_pillar_deficit_fraction,institutional_reference_window,institutional_source_role,diagnostic__census_sector_count,diagnostic__female_population_observed,diagnostic__female_rural_observed,diagnostic__female_urban_observed,diagnostic__female_population_unavailable_sector_count,diagnostic__female_age_covered,diagnostic__female_15_29,diagnostic__female_30_59,diagnostic__female_60_plus,diagnostic__age_complete_sector_count,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered
1500107,Abaetetuba,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.1634969864798827,4.247652950371694,189.4546377060238,1,2,1,0,1,0,1,0,1,0,0,1,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,300,78869.0,28519.0,50350.0,5,77002.0,20894.0,29797.0,8179.0,235,0.36159961455071066,0.9763278347639757,0.271343601464897,0.3869639749616893,0.10621802031116075
1500131,Abel Figueiredo,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.0478282828282828,20.58060246288224,371.9262621443181,0,0,0,0,0,1,0,1,0,1,0,1,0,1.0,2026-08-19/2026-08-20,non_transport_response_system_presence,15,3023.0,350.0,2673.0,0,2904.0,675.0,1124.0,367.0,11,0.11577902745616937,0.9606351306649025,0.23243801652892562,0.38705234159779617,0.12637741046831955
1500206,Acará,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6496489496686872,0.1685432168387194,21.83555666916992,179.00123894625457,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,174,28466.0,21803.0,6663.0,2,25879.0,6911.0,9177.0,2623.0,109,0.7659312864469894,0.909119651514087,0.2670505042698713,0.3546118474438734,0.10135631206769968
1500305,Afuá,2022,2026-08-26,IBGE municipality universe; no primary routing-ready origin in frozen Stage 2 endpoints,no_primary_routing_ready_origin,,,,,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,44,18057.0,12075.0,5982.0,0,17339.0,4963.0,5231.0,1271.0,38,0.6687157335105499,0.9602370271916708,0.28623334679047235,0.301689832170252,0.07330295864813427
1500347,Água Azul do Norte,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.0446334494992307,17.07683143140642,578.9740257994631,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,55,8381.0,3920.0,4461.0,1,6652.0,1693.0,2602.0,574.0,29,0.46772461520105,0.7937000357952512,0.2545099218280216,0.39116055321707754,0.08628983764281419
1500404,Alenquer,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0261202008747772,0.0087299530212214,13.613512365350113,161.54578406588274,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,107,33685.0,15739.0,17946.0,1,31164.0,8428.0,10600.0,2991.0,84,0.4672406115481668,0.9251595665726584,0.27044025157232704,0.3401360544217687,0.09597612629957643
1500503,Almeirim,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0043555763840072,0.004057382384337,32.269829135640286,32.269829135640286,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,88,16607.0,5311.0,11296.0,5,14467.0,3916.0,4974.0,1288.0,42,0.3198049015475402,0.871138676461733,0.2706850072578973,0.34381696274279394,0.0890302066772655
1500602,Altamira,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.1073758799804683,0.030845357970864,16.55307625739319,296.7196330075768,2,1,1,0,1,0,1,0,1,0,0,1,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,395,63250.0,9998.0,53252.0,22,55153.0,14479.0,22112.0,5204.0,195,0.1580711462450593,0.8719841897233201,0.26252425072072233,0.40092107410294997,0.0943557014124345
1500701,Anajás,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0044444444444444,0.0044444444444444,1.4704852254826144,1.4704852254826144,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,35,13503.0,7383.0,6120.0,0,12913.0,3892.0,3676.0,768.0,29,0.5467673850255499,0.9563060060727245,0.30140168822117247,0.2846743591729265,0.05947494772709672
1500800,Ananindeua,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.2698774412019173,4.537882646788988,141.94399324528987,0,2,1,1,0,1,1,0,1,0,1,0,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,761,251064.0,703.0,250361.0,12,245526.0,57345.0,109983.0,32973.0,684,0.0028000828474014595,0.9779418793614377,0.23355978592898513,0.44794848610737764,0.13429534957601233
