municipality_code,municipality_name,accessibility_coverage_status,topsis_contrast_score,topsis_contrast_rank,coverage_limited_rank_flag,top_10,top_quartile
1507805,Senador José Porfírio,routing_ready_reachable,0.726918154945951,1.0,False,True,True
1506401,Santa Cruz do Arari,routing_ready_reachable,0.7010525563973955,2.0,False,True,True
1501253,Bannach,routing_ready_reachable,0.6805349008264385,3.0,False,True,True
1506583,Santa Maria das Barreiras,routing_ready_reachable,0.6770843870988513,4.0,False,True,True
1508050,Trairão,routing_ready_reachable,0.6691117182999854,5.0,False,True,True
1505635,Piçarra,routing_ready_reachable,0.6606340380325866,6.0,False,True,True
1505551,Pau D'Arco,routing_ready_reachable,0.6432989572289658,7.0,False,True,True
1501105,Bagre,routing_ready_reachable,0.6371574888835395,8.0,False,True,True
1505494,Palestina do Pará,routing_ready_reachable,0.6247543641019561,9.0,False,True,True
1502608,Colares,routing_ready_reachable,0.6188077316196973,10.0,False,True,True
1507755,Sapucaia,routing_ready_reachable,0.6169434992506079,11.0,False,False,True
1503408,Inhangapi,routing_ready_reachable,0.6009189869447629,12.0,False,False,True
1500131,Abel Figueiredo,routing_ready_reachable,0.5984745430328525,13.0,False,False,True
1502764,Cumaru do Norte,routing_ready_reachable,0.5984415131226126,14.0,False,False,True
1501006,Aveiro,routing_ready_reachable,0.5952956575624956,15.0,False,False,True
1504000,Limoeiro do Ajuru,routing_ready_reachable,0.591480445050639,16.0,False,False,True
1503754,Jacareacanga,routing_ready_reachable,0.5896473647474095,17.0,False,False,True
1507961,Terra Alta,routing_ready_reachable,0.5891555674739701,18.0,False,False,True
1504752,Mojuí dos Campos,routing_ready_reachable,0.5860398367089321,19.0,False,False,True
1506005,Prainha,routing_ready_reachable,0.5833235534163941,20.0,False,False,True
1505031,Novo Progresso,routing_ready_reachable,0.582323336230295,21.0,False,False,True
1504455,Medicilândia,routing_ready_reachable,0.578742063842717,22.0,False,False,True
1501451,Belterra,routing_ready_reachable,0.577893145681407,23.0,False,False,True
1505650,Placas,routing_ready_reachable,0.5775225705166522,24.0,False,False,True
1504802,Monte Alegre,routing_ready_reachable,0.5751160830441648,25.0,False,False,True
1500404,Alenquer,routing_ready_reachable,0.5747305539804527,26.0,False,False,True
1502509,Chaves,routing_ready_reachable,0.5746392962794346,27.0,False,False,True
1500347,Água Azul do Norte,routing_ready_reachable,0.5728087048738133,28.0,False,False,True
1500859,Anapu,routing_ready_reachable,0.5711978763774593,29.0,False,False,True
1501725,Brasil Novo,routing_ready_reachable,0.5709384445454389,30.0,False,False,True
1503044,Floresta do Araguaia,routing_ready_reachable,0.5697155762332974,31.0,False,False,True
1505205,Oeiras do Pará,routing_ready_reachable,0.5690592004300213,32.0,False,False,True
1504505,Melgaço,routing_ready_reachable,0.5676570782963106,33.0,False,False,True
