,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena
criterion__rural_female_share,1.0,-0.49729825044872067,-0.6655465270954727,0.17927696937456017,-0.5658965874967835,-0.12130939682361394,-0.5804744420473705,-0.12371480459507982,0.31232197756204066,-0.21766836535064205,0.13204217023661852
socio__female_literacy_rate_15plus,-0.49729825044872067,1.0,0.41992882758769023,-0.2602360615604481,0.5320152064833505,0.27703528472367556,0.270127871779371,0.06121062540725541,-0.16400331167501506,0.15493047492217069,-0.03636773758418374
socio__household_per_capita_income_mean_brl,-0.6655465270954727,0.41992882758769023,1.0,-0.32271591605775307,0.615214976844144,0.08134796496008613,0.7413750873408245,0.1273475156579989,-0.5664688551727987,0.37544680578135714,0.06309996244044576
socio__female_age_share_15_29,0.17927696937456017,-0.2602360615604481,-0.32271591605775307,1.0,-0.696077321107366,-0.8365284526820129,-0.2686606386987868,0.09356220637766531,0.0533193109603561,-0.09515289800199007,0.07489820311714969
socio__female_age_share_30_59,-0.5658965874967835,0.5320152064833505,0.615214976844144,-0.696077321107366,1.0,0.571764322214222,0.5719305403662189,0.090003355154462,-0.2250527439961373,0.26460737274583956,-0.22445932938635807
socio__female_age_share_60_plus,-0.12130939682361394,0.27703528472367556,0.08134796496008613,-0.8365284526820129,0.571764322214222,1.0,0.08513039751739494,-0.14557293912510114,0.20169828826178698,-0.013061075187605041,-0.22416819186420914
socio__race_share_branca,-0.5804744420473705,0.270127871779371,0.7413750873408245,-0.2686606386987868,0.5719305403662189,0.08513039751739494,1.0,0.008474173667000522,-0.4747492546842311,0.3322731038029336,-0.1743875488992162
socio__race_share_preta,-0.12371480459507982,0.06121062540725541,0.1273475156579989,0.09356220637766531,0.090003355154462,-0.14557293912510114,0.008474173667000522,1.0,-0.4778782097835851,0.1436421328280026,-0.09156962899279061
socio__race_share_parda,0.31232197756204066,-0.16400331167501506,-0.5664688551727987,0.0533193109603561,-0.2250527439961373,0.20169828826178698,-0.4747492546842311,-0.4778782097835851,1.0,-0.28397629418345693,-0.6003122433639172
socio__race_share_amarela,-0.21766836535064205,0.15493047492217069,0.37544680578135714,-0.09515289800199007,0.26460737274583956,-0.013061075187605041,0.3322731038029336,0.1436421328280026,-0.28397629418345693,1.0,-0.006620489772638693
socio__race_share_indigena,0.13204217023661852,-0.03636773758418374,0.06309996244044576,0.07489820311714969,-0.22445932938635807,-0.22416819186420914,-0.1743875488992162,-0.09156962899279061,-0.6003122433639172,-0.006620489772638693,1.0
