,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena
criterion__rural_female_share,1.0,-0.47285354299968185,-0.6588055622538381,0.2014749618197894,-0.5840205771240254,-0.1550438067679447,-0.5734104975484285,-0.09950968571658227,0.4105297001848726,-0.29353578242899475,-0.2382847038019452
socio__female_literacy_rate_15plus,-0.47285354299968185,1.0,0.32265279304000677,-0.18086183823159588,0.420057713128914,0.21882950121558278,0.23340446996877728,-0.05805672442417516,-0.18390021583463326,0.15218026922348543,0.09343011129339931
socio__household_per_capita_income_mean_brl,-0.6588055622538381,0.32265279304000677,1.0,-0.3582388875492324,0.6605216622458002,0.1071055381400209,0.7436500281327868,0.2166787235752753,-0.6813921710473435,0.5211925500289485,0.5007475283337353
socio__female_age_share_15_29,0.2014749618197894,-0.18086183823159588,-0.3582388875492324,1.0,-0.6677799212281971,-0.8267020335985853,-0.28679768507354714,0.0447351499075637,0.1267261474158026,-0.1695444192031432,-0.007093481231412266
socio__female_age_share_30_59,-0.5840205771240254,0.420057713128914,0.6605216622458002,-0.6677799212281971,1.0,0.5095169198617474,0.6031709669640705,0.001523189454223937,-0.3669640704123463,0.4017345889948465,0.07633630737079013
socio__female_age_share_60_plus,-0.1550438067679447,0.21882950121558278,0.1071055381400209,-0.8267020335985853,0.5095169198617474,1.0,0.06845912707981673,-0.14859336066232617,0.12472871955630577,0.02128649353599412,-0.19666827425448116
socio__race_share_branca,-0.5734104975484285,0.23340446996877728,0.7436500281327868,-0.28679768507354714,0.6031709669640705,0.06845912707981673,1.0,0.10984245639418053,-0.6562736114460253,0.4272128719687792,0.2930512016718913
socio__race_share_preta,-0.09950968571658227,-0.05805672442417516,0.2166787235752753,0.0447351499075637,0.001523189454223937,-0.14859336066232617,0.10984245639418053,1.0,-0.6173297966401414,0.24257921648112926,0.24729523350213006
socio__race_share_parda,0.4105297001848726,-0.18390021583463326,-0.6813921710473435,0.1267261474158026,-0.3669640704123463,0.12472871955630577,-0.6562736114460253,-0.6173297966401414,1.0,-0.4415465412213277,-0.5448436620850414
socio__race_share_amarela,-0.29353578242899475,0.15218026922348543,0.5211925500289485,-0.1695444192031432,0.4017345889948465,0.02128649353599412,0.4272128719687792,0.24257921648112926,-0.4415465412213277,1.0,0.2960355839921758
socio__race_share_indigena,-0.2382847038019452,0.09343011129339931,0.5007475283337353,-0.007093481231412266,0.07633630737079013,-0.19666827425448116,0.2930512016718913,0.24729523350213006,-0.5448436620850414,0.2960355839921758,1.0
