feature,n,missing,mean,std,min,q1,median,q3,max,iqr,iqr_outlier_count,zero_count
criterion__rural_female_share,144,0,0.3752037851123655,0.19156377469692223,0.0026638159163001,0.21936876340387002,0.39003600106351605,0.5114891320187448,0.7923471768548763,0.2921203686148748,0,0
socio__female_literacy_rate_15plus,144,0,0.8955194444444443,0.03671076760884276,0.7942,0.870375,0.8975500000000001,0.924425,0.9734,0.05405000000000004,0,0
socio__household_per_capita_income_mean_brl,144,0,764.4636111111112,222.0105883117583,358.65,613.6425,724.36,880.4925000000001,1668.52,266.85,4,0
socio__female_age_share_15_29,144,0,0.2627136653971609,0.02114453283293691,0.213719085394307,0.2500712961545934,0.2628269415921154,0.27313374084504943,0.3128932922747355,0.02306244469045604,3,0
socio__female_age_share_30_59,144,0,0.370847772280939,0.03497615224191505,0.2483287012694359,0.35538290174304177,0.37610809462858735,0.3922069602466075,0.4484678336527832,0.03682405850356574,10,0
socio__female_age_share_60_plus,144,0,0.1020234894141837,0.026601013248743782,0.0466142336466526,0.08362813667370467,0.09917514626274815,0.11996724310763471,0.1755189669460863,0.03633910643393004,1,0
socio__race_share_branca,144,0,0.1697255107321405,0.04213807968442625,0.0771150486648365,0.13832920143693855,0.16969310289096765,0.19652934619380305,0.2909507105059754,0.0582001447568645,1,0
socio__race_share_preta,144,0,0.09331256943909971,0.03803219089035328,0.0230293308890925,0.06224524646849337,0.09757763165573635,0.11351119511419777,0.2612491605104097,0.0512659486457044,3,0
socio__race_share_parda,144,0,0.7226721378593894,0.07083045312963754,0.2970218783795025,0.6809072665037523,0.7213301027318081,0.7720526156714349,0.8742663656884876,0.09114534916768258,2,0
socio__race_share_amarela,144,0,0.0011644522537418117,0.0010752491148605001,0.0,0.00045730980364042497,0.00092375634256435,0.001470201181605925,0.0074276836576163,0.0010128913779655,6,2
socio__race_share_indigena,144,0,0.01280839823419246,0.05251114396733126,2.2041967906894727e-05,0.0006521379497372,0.00116438172648055,0.00292455422219825,0.5746610098993428,0.00227241627246105,32,0
