feature,vif
socio__race_share_parda,529.5009737958491
socio__race_share_indigena,299.19410440574234
socio__race_share_branca,188.07551585017632
socio__race_share_preta,154.41638368815717
diagnostic__female_15_29_share_age_covered,6.180539214426871
diagnostic__female_60_plus_share_age_covered,5.0099990008242035
diagnostic__female_30_59_share_age_covered,4.604380235791764
socio__household_per_capita_income_mean_brl,3.82801037260413
criterion__rural_female_share,2.4164160626958857
socio__female_literacy_rate_15plus,1.7086714773257214
socio__race_share_amarela,1.275635241839836
