municipality_code,municipality_name,socio__female_literacy_rate_15plus,diagnostic__female_illiteracy_rate_15plus
1500107,Abaetetuba - PA,0.9076000000000001,0.09239999999999993
1500131,Abel Figueiredo - PA,0.878,0.122
1500206,Acará - PA,0.8572,0.14280000000000004
1500305,Afuá - PA,0.8067,0.19330000000000003
1500347,Água Azul do Norte - PA,0.9,0.09999999999999998
1500404,Alenquer - PA,0.9155,0.08450000000000002
1500503,Almeirim - PA,0.8886,0.11140000000000005
1500602,Altamira - PA,0.9137000000000001,0.08629999999999993
1500701,Anajás - PA,0.8014,0.1986
1500800,Ananindeua - PA,0.9734,0.026599999999999957
1500859,Anapu - PA,0.8726999999999999,0.12730000000000008
1500909,Augusto Corrêa - PA,0.8587,0.14129999999999998
1500958,Aurora do Pará - PA,0.8509,0.1491
1501006,Aveiro - PA,0.9243000000000001,0.07569999999999988
1501105,Bagre - PA,0.8399,0.16010000000000002
1501204,Baião - PA,0.9284,0.0716
1501253,Bannach - PA,0.8959999999999999,0.10400000000000009
1501303,Barcarena - PA,0.9434,0.056599999999999984
1501402,Belém - PA,0.9719,0.028100000000000014
1501451,Belterra - PA,0.9277,0.07230000000000003
1501501,Benevides - PA,0.9493,0.05069999999999997
1501576,Bom Jesus do Tocantins - PA,0.8848,0.11519999999999997
1501600,Bonito - PA,0.8465,0.15349999999999997
1501709,Bragança - PA,0.9081,0.09189999999999998
1501725,Brasil Novo - PA,0.9048999999999999,0.09510000000000007
1501758,Brejo Grande do Araguaia - PA,0.8745,0.12549999999999994
1501782,Breu Branco - PA,0.8692,0.13080000000000003
1501808,Breves - PA,0.8178,0.18220000000000003
1501907,Bujaru - PA,0.8973,0.10270000000000001
1501956,Cachoeira do Piriá - PA,0.8406999999999999,0.1593000000000001
1502004,Cachoeira do Arari - PA,0.9359999999999999,0.06400000000000006
1502103,Cametá - PA,0.9159,0.08409999999999995
1502152,Canaã dos Carajás - PA,0.9518000000000001,0.04819999999999991
1502202,Capanema - PA,0.9189,0.08109999999999995
1502301,Capitão Poço - PA,0.8606,0.13939999999999997
1502400,Castanhal - PA,0.9481,0.051899999999999946
