municipality_code,municipality_name,female_race_branca_count,female_race_preta_count,female_race_parda_count,female_race_amarela_count,female_race_indigena_count,diagnostic__female_declared_race_total,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena,diagnostic__female_race_declared_share_sum,diagnostic__female_race_residual_share
1500107,Abaetetuba - PA,9.75,4.62,35.43,0.04,0.03,49.87,0.19550832163625428,0.09264086625225587,0.7104471626228194,0.0008020854220974535,0.00060156406657309,1.0000000000000002,-2.220446049250313e-16
1500131,Abel Figueiredo - PA,10.17,4.4,34.58,0.0,0.11,49.26,0.20645554202192448,0.08932196508323184,0.7019894437677628,0.0,0.002233049127080796,1.0,0.0
1500206,Acará - PA,4.86,6.49,36.82,0.05,0.02,48.24,0.10074626865671642,0.13453565505804313,0.7632669983416251,0.0010364842454394694,0.00041459369817578774,0.9999999999999999,1.1102230246251565e-16
1500305,Afuá - PA,7.09,2.79,37.88,0.04,0.02,47.82000000000001,0.1482643245503973,0.05834378920953575,0.7921371810957758,0.0008364700961940609,0.00041823504809703046,0.9999999999999999,1.1102230246251565e-16
1500347,Água Azul do Norte - PA,11.7,3.77,30.39,0.06,0.45,46.370000000000005,0.2523183092516713,0.08130256631442742,0.6553806340306232,0.0012939400474444682,0.009704550355833513,0.9999999999999999,1.1102230246251565e-16
1500404,Alenquer - PA,7.59,3.34,37.56,0.04,0.03,48.56,0.15630148270181218,0.0687808896210873,0.7734761120263591,0.0008237232289950577,0.0006177924217462932,1.0,0.0
1500503,Almeirim - PA,7.6,3.02,36.32,0.01,1.58,48.529999999999994,0.1566041623737894,0.06222954873274264,0.7484030496600043,0.00020605810838656503,0.03255718112507728,1.0000000000000002,-2.220446049250313e-16
1500602,Altamira - PA,11.74,4.57,31.29,0.16,2.38,50.14,0.23414439569206222,0.09114479457518948,0.6240526525727962,0.003191065017949741,0.04746709214200239,1.0,0.0
1500701,Anajás - PA,7.04,2.5,38.65,0.02,0.01,48.22,0.14599751140605557,0.05184570717544587,0.8015346329323931,0.000414765657403567,0.0002073828287017835,1.0,0.0
1500800,Ananindeua - PA,12.66,5.43,34.26,0.11,0.06,52.519999999999996,0.24105102817974108,0.1033891850723534,0.6523229246001523,0.0020944402132520947,0.0011424219345011425,1.0,0.0
1500859,Anapu - PA,9.13,4.73,32.17,0.37,1.47,47.87,0.19072487988301653,0.098809275120117,0.6720284102778359,0.007729266764152915,0.030708167954877796,1.0,0.0
1500909,Augusto Corrêa - PA,5.58,1.3,41.95,0.01,0.01,48.85,0.11422722620266121,0.02661207778915046,0.8587512794268168,0.00020470829068577277,0.00020470829068577277,1.0,0.0
1500958,Aurora do Pará - PA,6.44,4.98,37.62,0.05,0.1,49.19,0.13092091888595245,0.10124008944907503,0.7647895913803618,0.001016466761536898,0.002032933523073796,1.0,0.0
1501006,Aveiro - PA,4.88,2.24,32.5,0.04,7.92,47.58,0.10256410256410256,0.04707860445565364,0.6830601092896175,0.0008406893652795292,0.1664564943253468,1.0,0.0
1501105,Bagre - PA,5.2,4.02,39.81,0.01,0.0,49.04,0.10603588907014683,0.08197389885807503,0.8117862969004894,0.0002039151712887439,0.0,1.0,0.0
1501204,Baião - PA,6.03,11.1,32.63,0.01,0.04,49.81,0.12106002810680586,0.22284681790805058,0.6550893394900622,0.0002007628990162618,0.0008030515960650472,1.0,0.0
1501253,Bannach - PA,8.46,3.99,31.41,0.15,2.31,46.32,0.18264248704663213,0.086139896373057,0.6781088082901554,0.003238341968911917,0.04987046632124353,1.0,0.0
1501303,Barcarena - PA,8.97,3.64,37.11,0.1,0.12,49.94,0.17961553864637567,0.07288746495794955,0.7430917100520625,0.002002402883460152,0.0024028834601521826,1.0,0.0
1501402,Belém - PA,14.44,5.64,32.83,0.14,0.09,53.14,0.2717350395182537,0.10613473842679713,0.6178020323673316,0.0026345502446368085,0.0016936394429808053,1.0,0.0
1501451,Belterra - PA,6.53,2.28,38.5,0.16,1.9,49.37,0.1322665586388495,0.04618189183714806,0.7798258051448248,0.0032408345148875837,0.038484909864290054,1.0,0.0
1501501,Benevides - PA,9.89,4.46,36.33,0.11,0.05,50.839999999999996,0.19453186467348546,0.0877261998426436,0.714594807238395,0.0021636506687647524,0.0009834775767112512,1.0,0.0
1501576,Bom Jesus do Tocantins - PA,9.68,2.94,29.16,0.06,2.8,44.64,0.2168458781362007,0.06586021505376344,0.6532258064516129,0.0013440860215053762,0.06272401433691756,1.0,0.0
1501600,Bonito - PA,8.03,2.25,38.35,0.04,0.01,48.68,0.16495480690221856,0.0462202136400986,0.787797863599014,0.0008216926869350863,0.0002054231717337716,1.0,0.0
1501709,Bragança - PA,6.83,1.9,41.17,0.02,0.04,49.96000000000001,0.13670936749399518,0.03803042433947157,0.8240592473979182,0.0004003202562049639,0.0008006405124099278,0.9999999999999999,1.1102230246251565e-16
1501725,Brasil Novo - PA,12.06,4.75,31.21,0.05,0.82,48.89,0.2466762119042749,0.09715688279811822,0.6383718551851094,0.0010227040294538761,0.016772346083043566,1.0,0.0
1501758,Brejo Grande do Araguaia - PA,8.31,5.16,35.15,0.06,0.62,49.3,0.16855983772819474,0.10466531440162273,0.7129817444219068,0.0012170385395537525,0.01257606490872211,1.0000000000000002,-2.220446049250313e-16
1501782,Breu Branco - PA,8.84,5.11,35.35,0.06,0.11,49.47,0.17869415807560138,0.10329492621790985,0.7145744895896503,0.001212856276531231,0.002223569840307257,1.0,0.0
1501808,Breves - PA,7.56,3.07,37.58,0.07,0.05,48.32999999999999,0.15642458100558662,0.06352162218084006,0.7775708669563419,0.0014483757500517282,0.0010345541071798059,1.0000000000000002,-2.220446049250313e-16
1501907,Bujaru - PA,5.23,5.84,38.17,0.03,0.06,49.330000000000005,0.10602067707277518,0.11838637745793633,0.7737684978714777,0.0006081491992702209,0.0012162983985404417,0.9999999999999999,1.1102230246251565e-16
1501956,Cachoeira do Piriá - PA,6.45,5.52,35.21,0.01,0.08,47.269999999999996,0.13645017981806645,0.11677596784429871,0.7448698963401735,0.00021155066638459913,0.001692405331076793,1.0,0.0
1502004,Cachoeira do Arari - PA,4.7,6.76,37.91,0.04,0.03,49.44,0.09506472491909386,0.13673139158576053,0.7667880258899676,0.0008090614886731392,0.0006067961165048544,1.0,0.0
1502103,Cametá - PA,8.82,3.48,36.33,0.02,0.05,48.699999999999996,0.18110882956878852,0.07145790554414785,0.7459958932238193,0.00041067761806981524,0.0010266940451745382,1.0,0.0
1502152,Canaã dos Carajás - PA,10.81,4.29,33.6,0.14,0.06,48.900000000000006,0.22106339468302658,0.08773006134969324,0.6871165644171778,0.0028629856850715747,0.0012269938650306747,0.9999999999999999,1.1102230246251565e-16
1502202,Capanema - PA,12.1,2.52,36.42,0.1,0.07,51.21,0.23628197617652802,0.0492091388400703,0.7111892208553017,0.0019527436047646945,0.0013669205233352861,1.0,0.0
1502301,Capitão Poço - PA,7.28,2.36,39.53,0.04,0.06,49.27,0.14775725593667546,0.047899330221229955,0.8023137812056017,0.0008118530545971179,0.0012177795818956768,1.0,0.0
1502400,Castanhal - PA,11.88,4.05,35.73,0.2,0.03,51.89,0.22894584698400464,0.07804972056272884,0.6885719791867411,0.003854307188282906,0.0005781460782424359,1.0,0.0
1502509,Chaves - PA,6.05,5.33,34.89,0.1,0.06,46.43,0.13030368296360112,0.11479646780099075,0.7514538014214948,0.0021537798836958866,0.0012922679302175316,1.0000000000000002,-2.220446049250313e-16
1502608,Colares - PA,8.58,2.77,38.5,0.02,0.05,49.92,0.171875,0.05548878205128205,0.7712339743589743,0.00040064102564102563,0.0010016025641025642,1.0,0.0
1502707,Conceição do Araguaia - PA,10.95,5.96,32.37,0.18,0.12,49.58,0.2208551835417507,0.12020976200080678,0.6528842275110932,0.003630496167809601,0.0024203307785397336,1.0,0.0
1502756,Concórdia do Pará - PA,6.7,7.97,34.74,0.12,0.07,49.6,0.1350806451612903,0.16068548387096773,0.7004032258064516,0.002419354838709677,0.0014112903225806453,1.0,0.0
1502764,Cumaru do Norte - PA,7.05,3.75,23.23,0.04,8.92,42.99,0.16399162595952546,0.08722958827634333,0.5403582228425216,0.0009304489416143289,0.20749011397999534,1.0,0.0
1502772,Curionópolis - PA,10.05,4.86,33.85,0.05,0.08,48.89,0.2055635099202291,0.09940683166291676,0.6923706279402742,0.0010227040294538761,0.0016363264471262017,1.0000000000000002,-2.220446049250313e-16
1502806,Curralinho - PA,7.38,2.69,37.2,0.02,0.02,47.31000000000001,0.1559923906150919,0.056859015007398,0.786303107165504,0.00042274360600295913,0.00042274360600295913,0.9999999999999998,2.220446049250313e-16
1502855,Curuá - PA,6.08,2.37,39.53,0.01,0.04,48.03,0.1265875494482615,0.04934415990006246,0.8230272746200291,0.00020820320632937748,0.0008328128253175099,1.0,0.0
1502905,Curuçá - PA,9.12,2.14,38.4,0.03,0.03,49.72,0.18342719227674978,0.04304102976669349,0.7723250201126307,0.0006033789219629927,0.0006033789219629927,0.9999999999999999,1.1102230246251565e-16
1502939,Dom Eliseu - PA,11.55,4.83,34.06,0.08,0.05,50.57,0.22839628238085824,0.09551117263199525,0.6735218508997429,0.0015819655922483687,0.0009887284951552303,1.0,0.0
1502954,Eldorado do Carajás - PA,9.43,5.49,33.73,0.05,0.07,48.769999999999996,0.19335657166290754,0.1125692023785114,0.6916136969448431,0.0010252204223908142,0.0014353085913471398,1.0,0.0
1503002,Faro - PA,6.52,0.97,40.7,0.0,0.45,48.64000000000001,0.13404605263157893,0.019942434210526314,0.8367598684210525,0.0,0.009251644736842105,0.9999999999999999,1.1102230246251565e-16
1503044,Floresta do Araguaia - PA,10.24,4.29,32.28,0.05,0.08,46.94,0.21815083084789094,0.0913932680017043,0.6876864081806562,0.0010651896037494675,0.001704303365999148,1.0,0.0
1503077,Garrafão do Norte - PA,6.68,2.75,39.09,0.08,0.01,48.61,0.13742028389220326,0.056572721662209426,0.8041555235548242,0.0016457519029006377,0.0002057189878625797,1.0,0.0
1503093,Goianésia do Pará - PA,9.59,4.59,34.27,0.03,0.2,48.68000000000001,0.1970008216926869,0.09428923582580113,0.7039852095316351,0.0006162695152013146,0.004108463434675431,0.9999999999999999,1.1102230246251565e-16
