,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,profile__female_age_ilr_1,profile__female_age_ilr_2,profile__female_age_ilr_3,profile__female_race_ilr_1,profile__female_race_ilr_2,profile__female_race_ilr_3,profile__female_race_ilr_4
criterion__rural_female_share,1.0,-0.49729825044872034,-0.6655465270954728,0.5385800127153345,0.496871387544205,0.1543153010341619,-0.19002677871116067,-0.40556923469782674,-0.3465620131008296,-0.13687195921352174
socio__female_literacy_rate_15plus,-0.49729825044872034,1.0,0.41992882758769023,-0.5092534931053483,-0.5125653740758818,-0.29842882865713155,0.11892411557329284,0.16164479648106467,0.0922129391188531,0.036205587665107196
socio__household_per_capita_income_mean_brl,-0.6655465270954728,0.41992882758769023,1.0,-0.35562124458320815,-0.5288398659310944,-0.09648752217673247,0.20137231838380548,0.5926618361658196,0.22450021931592498,-0.10509474387608313
profile__female_age_ilr_1,0.5385800127153345,-0.5092534931053483,-0.35562124458320815,1.0,0.6652190520412288,0.4131662685285017,-0.14817983019558398,-0.19159320609987532,-0.2594900468785858,-0.3495252315716301
profile__female_age_ilr_2,0.496871387544205,-0.5125653740758818,-0.5288398659310944,0.6652190520412288,1.0,0.7673486894921066,-0.23291644420563135,-0.2440315806395304,-0.2190078412537839,-0.20688314086205242
profile__female_age_ilr_3,0.1543153010341619,-0.29842882865713155,-0.09648752217673247,0.4131662685285017,0.7673486894921066,1.0,-0.1932329341721795,0.11388764187533101,-0.07874122264234182,-0.24821152194454987
profile__female_race_ilr_1,-0.19002677871116067,0.11892411557329284,0.20137231838380548,-0.14817983019558398,-0.23291644420563135,-0.1932329341721795,1.0,-0.39939100106399733,-0.37773636679692313,-0.03400045493195181
profile__female_race_ilr_2,-0.40556923469782674,0.16164479648106467,0.5926618361658196,-0.19159320609987532,-0.2440315806395304,0.11388764187533101,-0.39939100106399733,1.0,0.5975787423834841,-0.04935324779656553
profile__female_race_ilr_3,-0.3465620131008296,0.0922129391188531,0.22450021931592498,-0.2594900468785858,-0.2190078412537839,-0.07874122264234182,-0.37773636679692313,0.5975787423834841,1.0,0.411145406464904
profile__female_race_ilr_4,-0.13687195921352174,0.036205587665107196,-0.10509474387608313,-0.3495252315716301,-0.20688314086205242,-0.24821152194454987,-0.03400045493195181,-0.04935324779656553,0.411145406464904,1.0
