,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,profile__female_age_ilr_1,profile__female_age_ilr_2,profile__female_age_ilr_3,profile__female_race_ilr_1,profile__female_race_ilr_2,profile__female_race_ilr_3,profile__female_race_ilr_4
criterion__rural_female_share,1.0,-0.47285354299968185,-0.6588055622538381,0.533269029820754,0.4786070251587493,0.16562575355678805,-0.17163009404388715,-0.4126798488867454,-0.35498352222490154,-0.16269592476489028
socio__female_literacy_rate_15plus,-0.47285354299968185,1.0,0.32265279304000677,-0.4783917497946362,-0.3856810427220619,-0.22531619625698796,0.204007362855792,0.14218079955377416,0.10516765334322824,0.094465008426709
socio__household_per_capita_income_mean_brl,-0.6588055622538381,0.32265279304000677,1.0,-0.3292781930712965,-0.5220681617233341,-0.12226911020014468,0.10382204002893658,0.6260228277469657,0.25690458966321034,-0.02556064625030142
profile__female_age_ilr_1,0.533269029820754,-0.4783917497946362,-0.3292781930712965,1.0,0.5935093641990193,0.37048066875653085,-0.26530021702435497,-0.1457278353830078,-0.1494132304477132,-0.3073949039466281
profile__female_age_ilr_2,0.4786070251587493,-0.3856810427220619,-0.5220681617233341,0.5935093641990193,1.0,0.7636323446668274,-0.32409372236958445,-0.18197090266055782,-0.13113495699702596,-0.21547705168394823
profile__female_age_ilr_3,0.16562575355678805,-0.22531619625698796,-0.12226911020014468,0.37048066875653085,0.7636323446668274,1.0,-0.24691745036572624,0.12837794389518528,-0.0109717868338558,-0.1728719556305763
profile__female_race_ilr_1,-0.17163009404388715,0.204007362855792,0.10382204002893658,-0.26530021702435497,-0.32409372236958445,-0.24691745036572624,1.0,-0.4265935214211076,-0.44743187846636123,-0.21650590788521823
profile__female_race_ilr_2,-0.4126798488867454,0.14218079955377416,0.6260228277469657,-0.1457278353830078,-0.18197090266055782,0.12837794389518528,-0.4265935214211076,1.0,0.6578932561691182,0.26863596173941
profile__female_race_ilr_3,-0.35498352222490154,0.10516765334322824,0.25690458966321034,-0.1494132304477132,-0.13113495699702596,-0.0109717868338558,-0.44743187846636123,0.6578932561691182,1.0,0.37476087131259544
profile__female_race_ilr_4,-0.16269592476489028,0.094465008426709,-0.02556064625030142,-0.3073949039466281,-0.21547705168394823,-0.1728719556305763,-0.21650590788521823,0.26863596173941,0.37476087131259544,1.0
