municipality_code,municipality_name,socio__household_per_capita_income_mean_brl
1500107,Abaetetuba - PA,77133
1500131,Abel Figueiredo - PA,92320
1500206,Acará - PA,50533
1500305,Afuá - PA,47609
1500347,Água Azul do Norte - PA,93670
1500404,Alenquer - PA,56230
1500503,Almeirim - PA,77303
1500602,Altamira - PA,124526
1500701,Anajás - PA,52425
1500800,Ananindeua - PA,121988
1500859,Anapu - PA,76501
1500909,Augusto Corrêa - PA,47994
1500958,Aurora do Pará - PA,57432
1501006,Aveiro - PA,47787
1501105,Bagre - PA,35865
1501204,Baião - PA,46065
1501253,Bannach - PA,99523
1501303,Barcarena - PA,97554
1501402,Belém - PA,166852
1501451,Belterra - PA,74115
1501501,Benevides - PA,81899
1501576,Bom Jesus do Tocantins - PA,94799
1501600,Bonito - PA,73925
1501709,Bragança - PA,81048
1501725,Brasil Novo - PA,76334
1501758,Brejo Grande do Araguaia - PA,76620
1501782,Breu Branco - PA,72532
1501808,Breves - PA,60608
1501907,Bujaru - PA,52609
1501956,Cachoeira do Piriá - PA,56423
1502004,Cachoeira do Arari - PA,48854
1502103,Cametá - PA,59790
1502152,Canaã dos Carajás - PA,136440
1502202,Capanema - PA,96647
1502301,Capitão Poço - PA,70458
1502400,Castanhal - PA,105505
1502509,Chaves - PA,58429
1502608,Colares - PA,65587
1502707,Conceição do Araguaia - PA,103280
1502756,Concórdia do Pará - PA,69998
1502764,Cumaru do Norte - PA,100772
1502772,Curionópolis - PA,103635
1502806,Curralinho - PA,47298
1502855,Curuá - PA,55604
1502905,Curuçá - PA,61445
1502939,Dom Eliseu - PA,78232
1502954,Eldorado do Carajás - PA,87996
1503002,Faro - PA,59492
1503044,Floresta do Araguaia - PA,83186
1503077,Garrafão do Norte - PA,62045
1503093,Goianésia do Pará - PA,82900
1503101,Gurupá - PA,63491
1503200,Igarapé-Açu - PA,71826
1503309,Igarapé-Miri - PA,61729
1503408,Inhangapi - PA,63170
1503457,Ipixuna do Pará - PA,59425
1503507,Irituia - PA,61662
1503606,Itaituba - PA,107437
1503705,Itupiranga - PA,63627
1503754,Jacareacanga - PA,78787
1503804,Jacundá - PA,90518
1503903,Juruti - PA,71305
1504000,Limoeiro do Ajuru - PA,46389
1504059,Mãe do Rio - PA,78661
1504109,Magalhães Barata - PA,61904
1504208,Marabá - PA,113750
1504307,Maracanã - PA,63479
1504406,Marapanim - PA,57669
1504422,Marituba - PA,88371
1504455,Medicilândia - PA,76310
1504505,Melgaço - PA,47685
1504604,Mocajuba - PA,69448
1504703,Moju - PA,62633
1504752,Mojuí dos Campos - PA,70592
1504802,Monte Alegre - PA,68701
1504901,Muaná - PA,50526
1504950,Nova Esperança do Piriá - PA,53530
1504976,Nova Ipixuna - PA,82487
1505007,Nova Timboteua - PA,70995
1505031,Novo Progresso - PA,127442
1505064,Novo Repartimento - PA,72131
1505106,Óbidos - PA,65259
1505205,Oeiras do Pará - PA,46054
1505304,Oriximiná - PA,72772
1505403,Ourém - PA,69489
1505437,Ourilândia do Norte - PA,93572
1505486,Pacajá - PA,68959
1505494,Palestina do Pará - PA,85612
1505502,Paragominas - PA,99206
1505536,Parauapebas - PA,132192
1505551,Pau D'Arco - PA,88209
1505601,Peixe-Boi - PA,75662
1505635,Piçarra - PA,86432
1505650,Placas - PA,79304
1505700,Ponta de Pedras - PA,57417
1505809,Portel - PA,50831
1505908,Porto de Moz - PA,48497
1506005,Prainha - PA,45171
1506104,Primavera - PA,71690
1506112,Quatipuru - PA,64932
1506138,Redenção - PA,129520
1506161,Rio Maria - PA,103900
1506187,Rondon do Pará - PA,94614
1506195,Rurópolis - PA,73195
1506203,Salinópolis - PA,87511
1506302,Salvaterra - PA,72340
1506351,Santa Bárbara do Pará - PA,76245
1506401,Santa Cruz do Arari - PA,52036
1506500,Santa Izabel do Pará - PA,91402
1506559,Santa Luzia do Pará - PA,68508
1506583,Santa Maria das Barreiras - PA,117542
1506609,Santa Maria do Pará - PA,79359
1506708,Santana do Araguaia - PA,113795
1506807,Santarém - PA,102430
1506906,Santarém Novo - PA,74373
1507003,Santo Antônio do Tauá - PA,69767
1507102,São Caetano de Odivelas - PA,61122
1507151,São Domingos do Araguaia - PA,92263
1507201,São Domingos do Capim - PA,52037
1507300,São Félix do Xingu - PA,98071
1507409,São Francisco do Pará - PA,68198
1507458,São Geraldo do Araguaia - PA,85258
1507466,São João da Ponta - PA,56606
1507474,São João de Pirabas - PA,62411
1507508,São João do Araguaia - PA,68494
1507607,São Miguel do Guamá - PA,73947
1507706,São Sebastião da Boa Vista - PA,54145
1507755,Sapucaia - PA,78097
1507805,Senador José Porfírio - PA,62770
1507904,Soure - PA,72805
1507953,Tailândia - PA,82970
1507961,Terra Alta - PA,72904
1507979,Terra Santa - PA,69220
1508001,Tomé-Açu - PA,71004
1508035,Tracuateua - PA,53671
1508050,Trairão - PA,96472
1508084,Tucumã - PA,112097
1508100,Tucuruí - PA,112455
1508126,Ulianópolis - PA,71862
1508159,Uruará - PA,84009
1508209,Vigia - PA,69955
1508308,Viseu - PA,51580
1508357,Vitória do Xingu - PA,83842
1508407,Xinguara - PA,118719
