municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1500107,Abaetetuba,158188.0,292,0.0018459048726831365,0.18727084228892205,0.10048170531266594,0.7092004450400788,0.0006764103471818343,0.0005246921384681519,0.9981540951273168,0.0018459048726832128
1500131,Abel Figueiredo,6136.0,0,0.0,0.2001303780964798,0.10430247718383312,0.6939374185136897,0.0,0.0016297262059973925,1.0,0.0
1500206,Acará,59023.0,0,0.0,0.09630144181081951,0.1440624841163614,0.758145129864629,0.0011012656083221794,0.0003896785998678481,0.9999999999999999,1.1102230246251565e-16
1500305,Afuá,37765.0,2,5.2959089103667416e-05,0.1448431086985304,0.06797299086455713,0.7861776777439428,0.000635509069244009,0.0003177545346220045,0.9999470409108964,5.295908910363245e-05
1500347,Água Azul do Norte,18080.0,2,0.00011061946902654867,0.24618362831858406,0.10116150442477877,0.6420907079646018,0.0007190265486725664,0.009734513274336283,0.9998893805309735,0.0001106194690264628
1500404,Alenquer,69377.0,1,1.4413998875708088e-05,0.15035242227251105,0.07790766392320221,0.7706156218919815,0.0005909739539040316,0.0005189039595254912,0.9999855860011243,1.4413998875695277e-05
1500503,Almeirim,34280.0,0,0.0,0.1488331388564761,0.07535005834305718,0.7438156359393232,0.0003500583430571762,0.03165110851808635,1.0,0.0
1500602,Altamira,126279.0,1,7.918973067572597e-06,0.23058465778157888,0.10246359252132184,0.6172681126711488,0.0026053421392313843,0.04707037591365152,0.9999920810269324,7.918973067622126e-06
1500701,Anajás,28011.0,0,0.0,0.13923101638641963,0.05747741958516297,0.8028274606404626,0.00028560208489521974,0.00017850130305951234,1.0,0.0
1500800,Ananindeua,478778.0,15,3.132976034821984e-05,0.2341502742398356,0.11190154936108175,0.6508736825835774,0.0019821295046973755,0.001061034550459712,0.9999686702396517,3.132976034825319e-05
1500859,Anapu,31850.0,0,0.0,0.19409733124018838,0.10979591836734694,0.6598116169544741,0.006750392464678179,0.029544740973312403,0.9999999999999999,1.1102230246251565e-16
1500909,Augusto Corrêa,44573.0,0,0.0,0.1126691046149014,0.03208220223004958,0.8548897314517757,0.00017948085163664102,0.00017948085163664102,1.0,0.0
1500958,Aurora do Pará,23774.0,0,0.0,0.1263985866913435,0.11007823672919996,0.7607049718179524,0.0007571296374190292,0.002061075124085135,1.0,0.0
1501006,Aveiro,18290.0,0,0.0,0.09404045926735921,0.054893384363039914,0.6878622197922362,0.0009841443411700383,0.16221979223619465,0.9999999999999999,1.1102230246251565e-16
1501105,Bagre,31892.0,0,0.0,0.0998683055311677,0.09325222626363978,0.8066599774238054,0.0001881349554747272,3.135582591245454e-05,1.0,0.0
1501204,Baião,51641.0,0,0.0,0.11531535020623149,0.22875234794058985,0.6547123409693848,0.00023237350167502565,0.000987587382118859,1.0,0.0
1501253,Bannach,4031.0,0,0.0,0.1801041925080625,0.10270404366162243,0.6616224261969734,0.0019846192011907715,0.05358471843215083,0.9999999999999999,1.1102230246251565e-16
1501303,Barcarena,126650.0,2,1.5791551519936835e-05,0.17760757994472956,0.08284247927358863,0.7354441373864983,0.0018476115278326095,0.0022424003158310305,0.9999842084484801,1.579155151987255e-05
1501402,Belém,1303403.0,62,4.756778985471109e-05,0.2627552644884199,0.11461919298942844,0.6184602920201964,0.0025302995313038253,0.0015873831807967297,0.9999524322101453,4.7567789854707776e-05
1501451,Belterra,18099.0,0,0.0,0.13227250124316262,0.05177081606718603,0.774186419139179,0.002873086910879054,0.03889717663959335,1.0,0.0
1501501,Benevides,63567.0,0,0.0,0.18940645303380685,0.09844730756524611,0.7092044614343921,0.0018720405241713467,0.0010697374423836268,1.0,0.0
1501576,Bom Jesus do Tocantins,18005.0,0,0.0,0.22010552624271035,0.07297972785337406,0.6460983060261039,0.0009997222993612886,0.05981671757845043,1.0,0.0
1501600,Bonito,12622.0,0,0.0,0.16439549992077326,0.05387418792584377,0.7808588179369355,0.0007130407225479321,0.00015845349389954048,1.0,0.0
1501709,Bragança,123082.0,2,1.624932971514925e-05,0.13349636827480865,0.04397881087405144,0.821281747127931,0.0004631058968817536,0.0007637184966120148,0.9999837506702849,1.6249329715112282e-05
1501725,Brasil Novo,24718.0,1,4.0456347600938586e-05,0.24257626021522777,0.11530059066267498,0.6253337648677078,0.0008495832996197103,0.015899344607168863,0.9999595436523991,4.045634760085903e-05
1501758,Brejo Grande do Araguaia,6783.0,0,0.0,0.16806722689075632,0.11528822055137844,0.7038183694530443,0.0007371369600471767,0.012089046144773699,1.0,0.0
1501782,Breu Branco,45712.0,0,0.0,0.17034914245712285,0.11493699684984249,0.7115418270913546,0.0010719285964298215,0.0021001050052502626,1.0,0.0
1501808,Breves,106968.0,0,0.0,0.14856779597636677,0.07073143369979808,0.7786253832921995,0.0011031336474459652,0.0009722533841896642,1.0,0.0
1501907,Bujaru,24383.0,0,0.0,0.1044170118525202,0.12549727268998892,0.7682401673296969,0.0007792314317352254,0.0010663166960587294,1.0,0.0
1501956,Cachoeira do Piriá,19630.0,0,0.0,0.13815588385124808,0.12582781456953643,0.7341823739174732,0.00025471217524197657,0.0015792154865002547,1.0,0.0
1502004,Cachoeira do Arari,23981.0,0,0.0,0.08857011801009132,0.14628247362495309,0.7638964179975815,0.0005837955047746132,0.0006671948625995579,1.0,0.0
1502103,Cametá,134184.0,1,7.452453347642044e-06,0.17260627198473738,0.07873516961783819,0.7473096643415013,0.0004098849341203124,0.0009315566684552555,0.9999925475466523,7.452453347656096e-06
1502152,Canaã dos Carajás,77079.0,0,0.0,0.21658298628679667,0.09749737282528315,0.6817161613409619,0.0026466352703070875,0.001556844276651228,1.0,0.0
1502202,Capanema,70394.0,0,0.0,0.23423871352672102,0.05392505043043441,0.708270591243572,0.0021166576696877576,0.0014489871295849078,0.9999999999999999,1.1102230246251565e-16
1502301,Capitão Poço,56506.0,1,1.7697235691784943e-05,0.14605528616430113,0.05413584398117014,0.797809082221357,0.0007609811347467526,0.0012211092627331611,0.9999823027643082,1.769723569178261e-05
1502400,Castanhal,192256.0,4,2.0805592543275634e-05,0.2230411534620506,0.08545376997336884,0.6869954643808256,0.003739805259653795,0.0007490013315579227,0.9999791944074569,2.0805592543138296e-05
1502509,Chaves,20757.0,0,0.0,0.12622247916365564,0.12969118851471792,0.7410030351206822,0.0019270607505901623,0.0011562364503540975,1.0,0.0
1502608,Colares,12868.0,0,0.0,0.16824681380167858,0.06481193658688218,0.7658532794529065,0.00015542430836182778,0.0009325458501709667,1.0,0.0
1502707,Conceição do Araguaia,44617.0,4,8.965192639576843e-05,0.21518703633144318,0.13429858574086112,0.644955958491158,0.003182643387049779,0.0022861241230920947,0.9999103480736042,8.96519263957618e-05
1502756,Concórdia do Pará,26881.0,0,0.0,0.13611844797440573,0.17090138015698822,0.6898180871247349,0.0019344518433094006,0.001227632900561735,1.0,0.0
1502764,Cumaru do Norte,14036.0,557,0.03968367056141351,0.16194072385294955,0.10701054431461955,0.5162439441436306,0.0008549444286121402,0.1742661726987746,0.9603163294385864,0.03968367056141364
1502772,Curionópolis,19950.0,0,0.0,0.20145363408521302,0.10987468671679199,0.6863659147869674,0.0007518796992481203,0.0015538847117794487,1.0,0.0
