municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability
1500107,Abaetetuba,3,139,-0.2394316353136764,False,False,0.0
1500131,Abel Figueiredo,1,14,0.1144194981219159,False,True,0.5827
1500206,Acará,3,56,0.0339889225426072,False,False,0.2268
1500305,Afuá,4,15,0.1108611480157066,False,True,0.805
1500347,Água Azul do Norte,3,33,0.0714183921057945,False,True,0.493
1500404,Alenquer,4,27,0.0827019958203452,False,True,0.6426
1500503,Almeirim,3,48,0.0549041996338014,False,False,0.3451
1500602,Altamira,1,132,-0.1679244234921958,False,False,0.0024
1500701,Anajás,4,40,0.0677989944554758,False,False,0.4817
1500800,Ananindeua,1,142,-0.2985366866574054,False,False,0.0
1500859,Anapu,4,37,0.0689404665976639,False,False,0.5003
1500909,Augusto Corrêa,4,73,0.0085166444933417,False,False,0.0
1500958,Aurora do Pará,3,126,-0.1082999431200648,False,False,0.0003
1501006,Aveiro,4,13,0.115383841213345,False,True,0.8748
1501105,Bagre,4,8,0.1671143700314881,True,True,1.0
1501204,Baião,3,118,-0.0742556377908454,False,False,0.0027
1501253,Bannach,3,4,0.2178327047212709,True,True,0.9473
1501303,Barcarena,1,140,-0.2577716584308578,False,False,0.0
1501402,Belém,1,144,-0.4074306957644368,False,False,0.0
1501451,Belterra,2,26,0.0831903437426402,False,True,0.7139
1501501,Benevides,1,117,-0.0704666382357022,False,False,0.0
1501576,Bom Jesus do Tocantins,2,59,0.0320872037892815,False,False,0.115
1501600,Bonito,2,131,-0.1441011791330853,False,False,0.0
1501709,Bragança,2,128,-0.1351588414266893,False,False,0.0
1501725,Brasil Novo,3,30,0.072512121798778,False,True,0.3855
1501758,Brejo Grande do Araguaia,3,51,0.0453705340733769,False,False,0.2994
1501782,Breu Branco,3,61,0.0282754958997749,False,False,0.0785
1501808,Breves,4,133,-0.169118657801423,False,False,0.0076
1501907,Bujaru,3,74,0.0073292853630676,False,False,0.0456
1501956,Cachoeira do Piriá,3,63,0.0262739807049444,False,False,0.1042
