som_row,som_col,u_matrix_mean_neighbor_distance,municipality_count,som_profile
0,0,1.5417415471405658,4,3
0,1,1.2633809442510013,6,3
0,2,1.5292789882377338,8,3
0,3,1.5870461224489518,3,4
0,4,1.6594739049534903,7,4
1,0,1.200284833468189,4,3
1,1,1.351765394284815,9,3
1,2,1.4988671743813848,4,3
1,3,1.6354995757039439,2,4
1,4,1.567036081614609,5,4
2,0,1.1834870909123367,8,1
2,1,1.3826181654763503,9,3
2,2,1.7066096291973312,9,3
2,3,1.8421682480847599,4,4
2,4,1.6241263376452326,7,4
3,0,1.341511605942763,8,1
3,1,1.4620649628492424,1,1
3,2,1.7041246916781612,2,2
3,3,1.59200513309387,1,2
3,4,1.4643055242624885,5,2
4,0,1.2137157303241906,5,1
4,1,1.4752783412477375,8,1
4,2,1.6174899934698896,5,2
4,3,1.3164657439320755,9,2
4,4,1.173213280283079,11,2
